Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
Anlaß,Dat,Sing,Masc,,NOUN,,Anlass:42 | Anlaß:3
Anlaß,Acc,Sing,Masc,,NOUN,,Anlass:12 | Anlaß:3
Anruf,Dat,Sing,Masc,,NOUN,,Anruf:12 | Anrufe:1
Anrufbeantworter,Dat,Plur,Masc,,NOUN,,Anrufbeantwortern:2 | Anrufbeantworter:1
Anschluß,Dat,Sing,Masc,,NOUN,,Anschluss:77 | Anschluß:24
Anschluß,Acc,Sing,Masc,,NOUN,,Anschluss:80 | Anschluß:23
Ansicht,Dat,,,,NOUN,,Ansicht:1 | Ansichten:1
Anspruch,Acc,,,,NOUN,,Anspruch:3 | Ansprüche:1
Anteil,Dat,Sing,Masc,,NOUN,,Anteil:75 | Anteile:2
Anti-Trust-Prozeß,Dat,Sing,Masc,,NOUN,,Anti-Trust-Prozess:2 | Anti-Trust-Prozeß:2
Antitrust-Prozeß,Dat,Sing,Masc,,NOUN,,Antitrust-Prozess:10 | Antitrust-Prozeß:4
Architekt,Dat,Sing,Masc,,NOUN,,Architekten:7 | Architekt:1
Archiv,Dat,Sing,Neut,,PROPN,,Archiv:2 | Archive:1
Archiv,Dat,Sing,Neut,,NOUN,,Archiv:5 | Archive:1
Argument,Dat,Sing,Neut,,NOUN,,Argument:16 | Argumente:1
Art,Acc,,,,NOUN,,Art:5 | Arten:1
Art,Dat,,,,NOUN,,Art:6 | Arten:1
Artikel,Dat,Plur,Masc,,NOUN,,Artikeln:28 | Artikel:1
Artikel,Acc,Sing,Masc,,NOUN,,Artikel:74 | Art.:1
Atemzug,Dat,Sing,Masc,,NOUN,,Atemzug:10 | Atemzuge:1
Aufschluß,Acc,Sing,Masc,,NOUN,,Aufschluß:2 | Aufschluss:1
Auftrag,Dat,Sing,Masc,,NOUN,,Auftrag:187 | Auftrage:4
Auge,Dat,,,,NOUN,,Auge:2 | Augen:2
Auge,Acc,,,,NOUN,,Augen:3 | Auge:2
Auskunft,Dat,Plur,Fem,,NOUN,,Auskünften:7 | Auskünfte:1
Auslandsgeschäft,Dat,Sing,Neut,,NOUN,,Auslandsgeschäft:1 | Auslandsgeschäfte:1
Auslandsgespräch,Dat,Plur,Neut,,NOUN,,Auslandsgesprächen:9 | Auslandsgespräche:1
Auslandsgespräch,Dat,Sing,Neut,,NOUN,,Auslandsgespräch:1 | Auslandsgespräche:1
Ausmaß,Acc,Plur,Neut,,NOUN,,Ausmaße:6 | Ausmasse:1
Ausschluß,Dat,Sing,Masc,,NOUN,,Ausschluss:14 | Ausschluß:1
Ausschluß,Acc,Sing,Masc,,NOUN,,Ausschluss:11 | Ausschluß:3
Ausschuß,Dat,Sing,Masc,,NOUN,,Ausschuss:23 | Ausschuß:6
Ausschuß,Acc,Sing,Masc,,NOUN,,Ausschuss:5 | Ausschuß:3
Autor,Dat,Sing,Masc,,NOUN,,Autor:9 | Autoren:1
Bad,Dat,Sing,Neut,,NOUN,,Bade:3 | Bad:2
Band,Dat,Plur,Fem,,NOUN,,Bands:9 | Bänden:1
Band,Dat,Sing,,,NOUN,,Band:22 | Bande:1
Bank,Dat,Plur,Fem,,NOUN,,Banken:95 | Bänken:3
Bank,Acc,Plur,Fem,,NOUN,,Banken:25 | Bänke:1
Bankgeschäft,Dat,Sing,Neut,,NOUN,,Bankgeschäft:1 | Bankgeschäfte:1
Bar,Acc,Sing,Fem,,NOUN,,Bar:1 | Bars:1
Baustein,Dat,Plur,Masc,,NOUN,,Bausteinen:17 | Bausteine:1
Baustein,Dat,Sing,Masc,,NOUN,,Baustein:6 | Bausteine:1
Beamt,Acc,Plur,,,NOUN,,Beamten:3 | Beamte:2
Bedeutung,Acc,,,,NOUN,,Bedeutung:1 | Bedeutungen:1
Bedürfnis,Acc,,,,NOUN,,Bedürfnis:1 | Bedürfnisse:1
Befehl,Dat,Sing,Masc,,NOUN,,Befehl:4 | Befehle:1
Begriff,Dat,Plur,Masc,,NOUN,,Begriffen:22 | Begriffs:1
Begriff,Acc,,,,NOUN,,Begriff:4 | Begriffe:1
Beispiel,Dat,Sing,Neut,,NOUN,,Beispiel:542 | Beispiele:6 | B.:4
Beispiel,Dat,Plur,Neut,,NOUN,,Beispielen:6 | Beispiele:1
Beleg,Dat,Sing,Masc,,NOUN,,Beleg:3 | Belegen:1
Benutzer,Dat,Plur,Masc,,NOUN,,Benutzern:64 | Benutzer:1
Berg,Acc,Plur,Masc,,NOUN,,Berge:3 | Bergen:1
Berg,Dat,Sing,Masc,,NOUN,,Berg:14 | Berge:1
Bericht,Dat,Sing,Masc,,NOUN,,Bericht:564 | Berichte:2
Bericht,Dat,Plur,Masc,,NOUN,,Berichten:164 | Berichte:1
Beruf,Dat,Sing,Masc,,NOUN,,Beruf:14 | Berufe:1
Beschluß,Acc,Sing,Masc,,NOUN,,Beschluss:33 | Beschluß:10 | Beschlagnahmebeschluß:1
Beschluß,Dat,Sing,Masc,,NOUN,,Beschluss:38 | Beschluß:9
Beschuß,Dat,Sing,Masc,,NOUN,,Beschuss:19 | Beschuß:4
Beschuß,Acc,Sing,Masc,,NOUN,,Beschuss:14 | Beschuß:1
Beschäftigt,Acc,Plur,,,NOUN,,Beschäftigten:16 | Beschäftigte:6
Beschäftigter,Acc,Plur,,,NOUN,,Beschäftigten:3 | Beschäftigte:2
Besucher,Dat,Plur,Masc,,NOUN,,Besuchern:88 | Besucher:3
Betrieb,Dat,Sing,Masc,,NOUN,,Betrieb:138 | Betriebe:1
Betriebssystem,Dat,Sing,Neut,,NOUN,,Betriebssystem:125 | Betriebssysteme:6
Betroffen,Dat,Plur,,,NOUN,,Betroffenen:12 | Betroffen:1
Betroffen,Acc,Plur,,,NOUN,,Betroffenen:7 | Betroffene:3
Beweis,Dat,Sing,Masc,,NOUN,,Beweis:8 | Beweise:2
Bild,Dat,Sing,Neut,,NOUN,,Bild:55 | Bilde:3
Bildung,Acc,,,,NOUN,,Bildung:4 | Bildungen:1
Bischof,Dat,Plur,Masc,,NOUN,,Bischofs:1 | Bischöfen:1
Bit,Dat,Plur,Neut,,NOUN,,Bit:60 | Bits:14
Bit,Acc,Plur,Neut,,NOUN,,Bit:12 | Bits:6
Blick,Acc,,,,NOUN,,Blicke:2 | Blick:1
Block,Acc,Plur,Masc,,NOUN,,Blöcke:6 | Blocks:1
Blut,Dat,Sing,Neut,,NOUN,,Blut:11 | Blute:1
Brand,Dat,Sing,Masc,,PROPN,,Brand:1 | Brandes:1 | Brands:1
Browser,Dat,Plur,Masc,,NOUN,,Browsern:19 | Browser:3
Brötchen,Acc,Plur,Neut,,NOUN,,Brötchen:2 | Bröchten:1
Buch,Dat,Sing,Neut,,NOUN,,Buch:52 | Buche:49
Buch,Acc,,,,NOUN,,Buch:7 | Bücher:2
Bund,Dat,Sing,Masc,,NOUN,,Bund:53 | Bunde:11
Bundesland,Dat,Plur,Neut,,NOUN,,Bundesländern:50 | Bundesländer:2
Byte,Dat,Plur,Neut,,NOUN,,Byte:9 | Bytes:5
Byte,Acc,Plur,Neut,,NOUN,,Bytes:3 | Byte:1
Börsenschluss,Dat,Sing,Masc,,NOUN,,Börsenschluss:68 | Börsenschluß:9
Büro,Acc,Sing,Neut,,NOUN,,Büro:28 | Bürgerbüro:1
Büro,Dat,Plur,Neut,,NOUN,,Büros:21 | Bürgerbüros:1
CD,Dat,Plur,Fem,,NOUN,,CDs:66 | CD:1
CD-Laufwerk,Dat,Sing,Neut,,NOUN,,CD-Laufwerk:1 | CD-Laufwerke:1
CD-ROM-Laufwerk,Dat,Sing,Neut,,NOUN,,CD-ROM-Laufwerk:8 | CD-ROM-Laufwerke:1
Caesar,Dat,Sing,Masc,,PROPN,,Caesar:3 | Caesars:1
Cent,Dat,Plur,Masc,,NOUN,,Cents:110 | Cent:91
Cent,Acc,Plur,Masc,,NOUN,,Cent:24 | Cents:24
Christus,Dat,Sing,Masc,,PROPN,,Christus:2 | Chr:1
Code,Acc,Sing,Masc,,NOUN,,Code:56 | Codes:1
Code,Dat,Sing,Masc,,NOUN,,Code:32 | Computercode:1
Computer,Dat,Plur,Masc,,NOUN,,Computern:232 | Computer:3
Computernetz,Dat,Sing,Neut,,NOUN,,Computernetz:5 | Computernetze:2
Computerproblem,Dat,Sing,Neut,,NOUN,,Computerproblem:1 | Computerprobleme:1
Computerspiel,Dat,Sing,Neut,,NOUN,,Computerspiel:10 | Computerspiele:2
Computersystem,Dat,Sing,Neut,,NOUN,,Computersystem:6 | Computersysteme:5
Computersystem,Dat,Plur,Neut,,NOUN,,Computersystemen:29 | Computersysteme:1
Container,Dat,Plur,Masc,,NOUN,,Container:1 | Containern:1
Copyright-Inhaber,Dat,Plur,Masc,,NOUN,,Copyright-Inhabern:5 | Copyright-Inhaber:1
DSL-Anschluß,Acc,Sing,Masc,,NOUN,,DSL-Anschluss:14 | DSL-Anschluß:1
DSL-Preis,Dat,Plur,Masc,,NOUN,,DSL-Preise:1 | DSL-Preisen:1
DVD-Laufwerk,Dat,Sing,Neut,,NOUN,,DVD-Laufwerk:14 | DVD-Laufwerke:1
Dank,Dat,Sing,Masc,,NOUN,,Danke:2 | Dank:1
Dateisystem,Dat,Sing,Neut,,NOUN,,Dateisystem:4 | Dateisysteme:1
Datennetz,Dat,Sing,Neut,,NOUN,,Datennetz:21 | Datennetze:1
Datenpaket,Dat,Plur,Neut,,NOUN,,Datenpaketen:2 | Datenpakete:1
Datum,Dat,Sing,Neut,,NOUN,,Datum:23 | Dateidatum:2
Designer,Dat,Plur,Masc,,NOUN,,Designern:6 | Designer:1
Deutsch,Dat,Sing,Neut,,NOUN,,Deutsch:36 | Deutschen:1
Deutsch,Dat,Sing,Fem,,NOUN,,Deutscher:4 | Deutschen:1
Deutsch,Acc,Plur,,,NOUN,,Deutschen:8 | Deutsche:1
Deutsch,Acc,Sing,Neut,,NOUN,,Deutsche:5 | Deutsch:2
Dichtart,Dat,,,,NOUN,,Dichtart:1 | Dichtarten:1
Dichter,Dat,,,,NOUN,,Dichtern:4 | Dichter:1
Dienst,Dat,Sing,Masc,,NOUN,,Dienst:61 | Dienste:4
Dienst,Dat,Plur,Masc,,NOUN,,Diensten:64 | Dienste:3
Dienstleister,Dat,Plur,Masc,,NOUN,,Dienstleistern:12 | Dienstleister:1
Ding,Dat,Plur,Neut,,NOUN,,Dingen:28 | Dingern:1
Disc,Dat,Sing,Fem,,NOUN,,CD-RW:4 | CD-R:2 | Disc:1
Disziplin,Acc,Sing,Fem,,NOUN,,Disziplin:2 | Disziplinen:1
Doktor,Dat,Sing,Masc,,NOUN,,Dr.:10 | Doktor:3
Dollar,Acc,Plur,Masc,,NOUN,,Dollar:388 | Dollars:1
Dollar,Dat,Plur,Masc,,NOUN,,Dollar:540 | Dollars:2
Dom,Dat,Sing,Masc,,NOUN,,Dom:4 | Dome:3
Download-Angebot,Dat,Sing,Neut,,NOUN,,Download-Angebot:2 | Download-Angebote:1
Drittel,Dat,Plur,Neut,,NOUN,,Dritteln:9 | Drittel:2
Druck,Dat,Plur,Fem,,NOUN,,Drucken:1 | Drücken:1
Dunkel,Dat,Sing,Neut,,NOUN,,Dunkeln:20 | Dunkel:1
Durchsuchungsbeschluß,Acc,Sing,Masc,,NOUN,,Durchsuchungsbeschluss:1 | Durchsuchungsbeschluß:1
Dutzend,Dat,Plur,Neut,,NOUN,,Dutzenden:6 | Dutzend:3
EU-Land,Dat,Plur,Neut,,NOUN,,EU-Ländern:23 | EU-Länder:1
EU-Wettbewerbshüter,Dat,Plur,Masc,,NOUN,,EU-Wettbewerbshütern:4 | EU-Wettbewerbshüter:1
Effekt,Dat,Plur,Masc,,NOUN,,Effekten:12 | Effekte:1
Eigenheit,Acc,,,,NOUN,,Eigenheit:1 | Eigenheiten:1
Einfluß,Acc,Sing,Masc,,NOUN,,Einfluss:55 | Einfluß:12
Einfluß,Dat,Sing,Masc,,NOUN,,Einfluss:13 | Einfluß:6
Einwohner,Dat,Plur,Masc,,NOUN,,Einwohnern:55 | Einwohner:5
Einzelpreis,Dat,Sing,Masc,,NOUN,,Einzelpreis:2 | Einzelpreise:1
Elegie,Dat,,,,NOUN,,Elegie:1 | Elegien:1
Endgerät,Dat,Sing,Neut,,NOUN,,Endgerät:8 | Endgeräte:1
Energiekonzern,Dat,Plur,Masc,,NOUN,,Energiekonzern:1 | Energiekonzernen:1
Englisch,Dat,Sing,Neut,,NOUN,,Englisch:32 | Englischen:2
Engpaß,Acc,Plur,Masc,,NOUN,,Engpässe:8 | Engpäße:1
Ensemble,Dat,Sing,Neut,,NOUN,,Ensemble:3 | Ensembles:1
Entschluß,Dat,Sing,Masc,,NOUN,,Entschluss:6 | Entschluß:3
Erde,Dat,Sing,Fem,,NOUN,,Erde:35 | Erden:3
Erdgeschoß,Dat,Sing,Neut,,NOUN,,Erdgeschoss:2 | Erdgeschoß:1
Ereignis,Dat,Sing,Neut,,NOUN,,Ereignis:14 | Ereignisse:2
Erfolg,Dat,Sing,Masc,,NOUN,,Erfolg:155 | Erfolge:1
Erfolgsfall,Dat,Sing,Masc,,NOUN,,Erfolgsfalle:3 | Erfolgsfall:2
Erfordernis,Acc,Plur,Neut,,NOUN,,Erfordernisse:1 | Erfordernissen:1
Erkenntnis,Dat,Plur,Fem,,NOUN,,Erkenntnissen:50 | Erkenntnisse:2
Erlaß,Dat,Sing,Masc,,NOUN,,Erlass:8 | Erlaß:1
Erlaß,Acc,Sing,Masc,,NOUN,,Erlass:3 | Erlaß:2
Erlös,Dat,Sing,Masc,,NOUN,,Erlös:9 | Erlöse:1
Ersatz,Dat,Sing,Masc,,NOUN,,Ersatz:6 | Ersatze:1
Ersatzteil,Acc,Sing,Neut,,NOUN,,Ersatzteil:1 | Ersatzteile:1
Erschließung,Dat,Sing,Fem,,NOUN,,Erschließung:9 | Erschliessung:1
Erwachsene,Acc,Plur,,,NOUN,,Erwachsene:1 | Erwachsenen:1
Euro,Dat,Plur,Masc,,NOUN,,Euro:1166 | Euros:1
Ex-Monopolist,Dat,Sing,Masc,,NOUN,,Ex-Monopolisten:11 | Ex-Monopolist:2
Ex-Präsident,Acc,Sing,Masc,,NOUN,,Ex-Präsident:1 | Ex-Präsidenten:1
Exmonopolist,Dat,Sing,Masc,,NOUN,,Exmonopolisten:3 | Exmonopolist:1
Export,Acc,Plur,Masc,,NOUN,,Export:1 | Exporte:1
Fall,Dat,Sing,Masc,,NOUN,,Fall:367 | Falle:90
Fassade,Dat,Sing,Fem,,NOUN,,Fassade:3 | Fassaden:1
Fax,Dat,Sing,Neut,,NOUN,,Fax:7 | Faxe:2
Faxgerät,Dat,Sing,Neut,,NOUN,,Faxgerät:2 | Faxgeräte:1
Feld,Dat,Sing,Neut,,NOUN,,Feld:27 | Felde:5
Ferngespräch,Acc,Sing,Neut,,NOUN,,Ferngespräch:8 | Ferngespräche:1
Ferngespräch,Dat,Sing,Neut,,NOUN,,Ferngespräch:1 | Ferngespräche:1
Fernsehgerät,Dat,Sing,Neut,,NOUN,,Fernsehgerät:3 | Fernsehgeräte:2
Fertigungsprozeß,Acc,Sing,Masc,,NOUN,,Fertigungsprozess:1 | Fertigungsprozeß:1
Festnetz,Dat,Sing,Neut,,NOUN,,Festnetz:84 | Festnetze:1
Festnetzanschluß,Acc,Sing,Masc,,NOUN,,Festnetzanschluss:3 | Festnetzanschluß:2
Filtersystem,Dat,Sing,Neut,,NOUN,,Filtersystem:4 | Filtersysteme:2
Finanzbericht,Dat,Sing,Masc,,NOUN,,Finanzbericht:4 | Finanzberichte:1
Finanzdienst,Dat,Sing,Masc,,NOUN,,Finanzdienst:12 | Finanzdienste:1
FireWire-Anschluß,Dat,Sing,Masc,,NOUN,,FireWire-Anschluss:4 | FireWire-Anschluß:1
Firmennetzwerk,Dat,Sing,Neut,,NOUN,,Firmennetzwerk:2 | Firmennetzwerke:1
Flash-Baustein,Dat,Sing,Masc,,NOUN,,Flash-Bausteine:2 | Flash-Baustein:1
Flash-Memory-Baustein,Dat,Plur,Masc,,NOUN,,Flash-Memory-Bausteine:1 | Flash-Memory-Bausteinen:1
Flughafen,Dat,Plur,Masc,,NOUN,,Flughäfen:11 | Flughafen:1
Fluß,Dat,Sing,Masc,,NOUN,,Fluss:11 | Fluß:1
Form,Acc,,,,NOUN,,Form:5 | Formen:1
Format,Dat,Sing,Neut,,NOUN,,Format:42 | Formate:1
Forscher,Dat,Plur,Masc,,NOUN,,Forschern:20 | Forscher:1
Fortschritt,Dat,Sing,Masc,,NOUN,,Fortschritt:12 | Fortschritte:1
Forum,Dat,Sing,Neut,,NOUN,,Forum:52 | Forums:1
Frage,Dat,,,,NOUN,,Frage:1 | Fragen:1
Franc,Acc,Plur,Masc,,NOUN,,Franc:2 | Francs:2
Franc,Dat,Plur,Masc,,NOUN,,Franc:6 | Francs:2
Freiberufler,Dat,Plur,Masc,,NOUN,,Freiberuflern:5 | Freiberufler:1
Freude,Acc,,,,NOUN,,Freude:3 | Freuden:1
Freund,Dat,Sing,Masc,,NOUN,,Freund:9 | Freunde:2
Fuß,Dat,Sing,Masc,,NOUN,,Fuß:19 | Fuße:3
Fuß,Dat,Plur,Masc,,NOUN,,Füßen:17 | Fuß:1
Fuß,Acc,Sing,Masc,,NOUN,,Fuß:30 | Fuss:1
Fußball,Acc,Sing,Masc,,NOUN,,Fußball:2 | Fussball:1
Fußballmannschaft,Dat,Sing,Fem,,NOUN,,Fussballmannschaft:1 | Fußballmannschaft:1
Fürst,Dat,Sing,Masc,,NOUN,,Fürsten:2 | Fürst:1
Gang,Dat,Sing,Masc,,NOUN,,Gange:26 | Gang:16
Gattung,Acc,,,,NOUN,,Gattungen:4 | Gattung:1
Gebot,Dat,Sing,Neut,,NOUN,,Gebot:9 | Gebote:1
Gedicht,Dat,,,,NOUN,,Gedicht:3 | Gedichten:1
Gegenstand,Dat,,,,NOUN,,Gegenständen:4 | Gegenstande:1
Gegenstand,Acc,,,,NOUN,,Gegenstand:5 | Gegenstände:2
Gehalt,Dat,Plur,Neut,,NOUN,,Gehältern:10 | Gehälter:1
Gehäuse,Dat,Sing,Neut,,NOUN,,Gehäuse:59 | Gehäusen:1
Geist,Dat,Sing,Masc,,NOUN,,Geist:7 | Geiste:4
Geist,Dat,,,,NOUN,,Geist:8 | Geiste:4
Geld,Dat,Plur,Neut,,NOUN,,Geldern:11 | Gebührengeldern:1
Gen,Dat,Sing,Neut,,NOUN,,Gen:1 | Gene:1
Genuß,Acc,Sing,Masc,,NOUN,,Genuss:42 | Genuß:15
Genuß,Dat,Sing,Masc,,NOUN,,Genuss:2 | Genuß:2
George,Dat,Sing,Masc,,PROPN,,George:9 | Georges:2
Gerichtsbeschluss,Acc,Sing,Masc,,NOUN,,Gerichtsbeschluss:8 | Gerichtsbeschluß:3
Gerät,Dat,Plur,Neut,,NOUN,,Geräten:285 | Geräte:2
Gerät,Dat,Sing,Neut,,NOUN,,Gerät:100 | Geräte:5
Gerücht,Dat,Sing,Neut,,NOUN,,Gerücht:4 | Gerüchte:3
Geschoß,Acc,Sing,Neut,,NOUN,,Geschoss:2 | Geschoß:1
Geschäft,Dat,Sing,Neut,,NOUN,,Geschäft:221 | Geschäfte:2
Geschäftsfeld,Dat,Plur,Neut,,NOUN,,Geschäftsfeldern:10 | Geschäftsfelder:1
Geschäftsmodell,Dat,Sing,Neut,,NOUN,,Geschäftsmodell:11 | Geschäftsmodelle:1
Gesellschafter,Dat,Plur,Masc,,NOUN,,Gesellschaftern:7 | Gesellschafter:1
Gesetz,Dat,Sing,Neut,,NOUN,,Gesetz:62 | Gesetze:1
Gesetz,Dat,,,,NOUN,,Gesetzen:3 | Gesetze:1
Gesetz,Acc,,,,NOUN,,Gesetz:3 | Gesetze:2
Gesichtspunkt,Dat,,,,NOUN,,Gesichtspunkt:1 | Gesichtspunkte:1 | Gesichtspunkten:1
Gespräch,Dat,Sing,Neut,,NOUN,,Gespräch:352 | Gespräche:4
Gestalt,Acc,,,,NOUN,,Gestalt:1 | Gestalten:1
Getränk,Acc,Sing,Neut,,NOUN,,Getränk:2 | Getränke:1
Gewand,Dat,Sing,Neut,,NOUN,,Gewand:9 | Gewande:1
Gewinn,Dat,Sing,Masc,,NOUN,,Gewinn:134 | Gewinne:1
Gitarrist,Dat,Sing,Masc,,NOUN,,Gitarrist:1 | Gitarristen:1
Glied,Acc,,,,NOUN,,Glied:1 | Glieder:1
Grab,Dat,Sing,Neut,,NOUN,,Grab:7 | Grabe:5
Graf,Dat,Sing,Masc,,PROPN,,Graf:3 | Grafen:2
Graphit,Dat,Sing,Masc,,NOUN,,Graphit:2 | Graphite:1
Großraum,Dat,Sing,Masc,,NOUN,,Großraum:10 | Grossraum:1
Großteil,Dat,Sing,Masc,,NOUN,,Großteil:15 | Grossteil:1
Grund,Dat,Sing,Masc,,NOUN,,Grund:362 | Grunde:55
Grund,Dat,,,,NOUN,,Grund:1 | Grunde:1
Gruß,Dat,Plur,Masc,,NOUN,,Grüssen:1 | Grüßen:1
Gut,Dat,Plur,Neut,,NOUN,,Gütern:20 | Güter:1
Gut,Dat,Sing,Neut,,NOUN,,Gute:18 | Gut:4
Gut,Acc,Sing,Neut,,NOUN,,Gut:8 | Gute:1
Gutmensch,Dat,Sing,Masc,,NOUN,,Gutmensch:1 | Gutmenschen:1
Halbjahresabschluß,Acc,Sing,Masc,,NOUN,,Halbjahresabschluss:1 | Halbjahresabschluß:1
Hals,Dat,Sing,Masc,,NOUN,,Hals:8 | Halse:1
Hand,Dat,,,,NOUN,,Händen:4 | Hand:1
Handelsplatz,Dat,Plur,Masc,,NOUN,,Handelsplätze:1 | Handelsplätzen:1
Hang,Acc,Plur,Masc,,NOUN,,Hänge:1 | Hängen:1
Hauptkonkurrent,Dat,Sing,Masc,,NOUN,,Hauptkonkurrenten:11 | Hauptkonkurrent:1
Haus,Dat,Sing,Neut,,NOUN,,Hause:206 | Haus:97 | Handelshaus:1
Haus,Dat,,,,NOUN,,Hause:3 | Haus:1
Haushaltsausschuß,Acc,Sing,Masc,,NOUN,,Haushaltsausschuss:2 | Haushaltsausschuß:1
Haustürgeschäft,Dat,Plur,Neut,,NOUN,,Haustürgeschäften:2 | Haustürgeschäfte:1
Haß,Acc,Sing,Masc,,NOUN,,Hass:5 | Haß:1
Heim,Dat,Sing,Neut,,NOUN,,Heim:4 | Heime:1
Herr,Dat,Sing,Masc,,NOUN,,Herrn:23 | Herren:1
Herr,Acc,Sing,Masc,,NOUN,,Herrn:11 | Herren:2 | Herr:1
Hersteller,Dat,Plur,Masc,,NOUN,,Herstellern:137 | Hersteller:1
Herz,Dat,Sing,Neut,,NOUN,,Herz:5 | Herzen:2
Hintergrund,Dat,Sing,Masc,,NOUN,,Hintergrund:134 | HINTERGRUND:1
Hinweis,Dat,Sing,Masc,,NOUN,,Hinweis:76 | Hinweise:1
Hirsch,Dat,Sing,Masc,,NOUN,,Hirsch:1 | Hirschen:1
Hochschulabschluß,Acc,Sing,Masc,,NOUN,,Hochschulabschluss:1 | Hochschulabschluß:1
Hof,Dat,Sing,Masc,,NOUN,,Hof:9 | Hofe:2
Hotel,Acc,Sing,Masc,,PROPN,,Hotel:1 | HOTEL:1
Hundert,Dat,Sing,Neut,,NOUN,,Hunderte:2 | Hundert:1
Hypothese,Acc,,,,NOUN,,Hypothese:1 | Hypothesen:1
Hörgenuß,Acc,Sing,Masc,,NOUN,,Hörgenuss:1 | Hörgenuß:1
I,Dat,Sing,Masc,,PROPN,,I:2 | IS:1
IBM-Labor,Dat,Plur,Neut,,NOUN,,IBM-Laboren:1 | IBM-Labors:1
ISDN-Anschluß,Acc,Sing,Masc,,NOUN,,ISDN-Anschluss:14 | ISDN-Anschluß:1
ISDN-Anschluß,Dat,Sing,Masc,,NOUN,,ISDN-Anschluss:8 | ISDN-Anschluß:6
ISDN-Komfortanschluß,Acc,Sing,Masc,,NOUN,,ISDN-Komfortanschluss:1 | ISDN-Komfortanschluß:1
Ideal,Acc,,,,NOUN,,Ideal:5 | Ideale:2
Ideal,Dat,,,,NOUN,,Ideal:1 | Idealen:1
Idee,Acc,,,,NOUN,,Idee:4 | Ideen:1
Idee,Dat,,,,NOUN,,Idee:3 | Ideen:1
Individualität,Acc,,,,NOUN,,Individualität:4 | Individualitäten:1
Individuum,Acc,,,,NOUN,,Individuen:6 | Individuum:1
Individuum,Dat,,,,NOUN,,Individuum:2 | Individuen:1
Indiz,Acc,Sing,Neut,,NOUN,,Indiz:4 | Indizien:1
Informationsfluß,Acc,Sing,Masc,,NOUN,,Informationsfluss:3 | Informationsfluß:2
Inhalt,Dat,Sing,Masc,,NOUN,,Inhalt:58 | Inhalte:1
Inner,Dat,Sing,,,NOUN,,Inneren:19 | Innern:13
Inner,Acc,Sing,Neut,,NOUN,,Inneres:7 | Innere:4
Insider-Geschäft,Dat,Sing,Neut,,NOUN,,Insider-Geschäft:1 | Insider-Geschäfte:1
Insidergeschäft,Dat,Plur,Neut,,NOUN,,Insidergeschäften:4 | Insidergeschäfte:1
Institut,Acc,Sing,Neut,,PROPN,,Institut:3 | Institute:1
Institut,Dat,Sing,Neut,,NOUN,,Institut:65 | Institute:3
Instrument,Dat,Sing,Neut,,NOUN,,Instrument:3 | Instrumente:1
Intel-PC,Acc,Plur,Masc,,NOUN,,Intel-PCs:3 | Intel-PC:1
