Lemma,Case,Number,Gender,Degree,Upos,Forms
Argument,Dat,Sing,Neut,,NOUN,Argument | Argumente
Art,Acc,,,,NOUN,Art | Arten
Art,Dat,,,,NOUN,Art | Arten
Artikel,Dat,Plur,Masc,,NOUN,Artikel | Artikeln
Artikel,Acc,Sing,Masc,,NOUN,Art. | Artikel
Atemzug,Dat,Sing,Masc,,NOUN,Atemzug | Atemzuge
Aufschluß,Acc,Sing,Masc,,NOUN,Aufschluss | Aufschluß
Auftrag,Dat,Sing,Masc,,NOUN,Auftrag | Auftrage
Auge,Dat,,,,NOUN,Auge | Augen
Auge,Acc,,,,NOUN,Auge | Augen
Auskunft,Dat,Plur,Fem,,NOUN,Auskünfte | Auskünften
Auslandsgeschäft,Dat,Sing,Neut,,NOUN,Auslandsgeschäft | Auslandsgeschäfte
Auslandsgespräch,Dat,Plur,Neut,,NOUN,Auslandsgespräche | Auslandsgesprächen
Auslandsgespräch,Dat,Sing,Neut,,NOUN,Auslandsgespräch | Auslandsgespräche
Ausmaß,Acc,Plur,Neut,,NOUN,Ausmasse | Ausmaße
Ausschluß,Dat,Sing,Masc,,NOUN,Ausschluss | Ausschluß
Ausschluß,Acc,Sing,Masc,,NOUN,Ausschluss | Ausschluß
Ausschuß,Dat,Sing,Masc,,NOUN,Ausschuss | Ausschuß
Ausschuß,Acc,Sing,Masc,,NOUN,Ausschuss | Ausschuß
Autobahn,Dat,Sing,Fem,,NOUN,Autobahn | autobahn
Autor,Dat,Sing,Masc,,NOUN,Autor | Autoren
Bad,Dat,Sing,Neut,,NOUN,Bad | Bade
Band,Dat,Plur,Fem,,NOUN,Bands | Bänden
Band,Dat,Sing,,,NOUN,Band | Bande
Bank,Dat,Plur,Fem,,NOUN,Banken | Bänken
Bank,Acc,Plur,Fem,,NOUN,Banken | Bänke
Bankgeschäft,Dat,Sing,Neut,,NOUN,Bankgeschäft | Bankgeschäfte
Bar,Acc,Sing,Fem,,NOUN,Bar | Bars
Baustein,Dat,Plur,Masc,,NOUN,Bausteine | Bausteinen
Baustein,Dat,Sing,Masc,,NOUN,Baustein | Bausteine
Beamt,Acc,Plur,,,NOUN,Beamte | Beamten
Bedeutung,Acc,,,,NOUN,Bedeutung | Bedeutungen
Bedürfnis,Acc,,,,NOUN,Bedürfnis | Bedürfnisse
Befehl,Dat,Sing,Masc,,NOUN,Befehl | Befehle
Begriff,Dat,Plur,Masc,,NOUN,Begriffen | Begriffs
Begriff,Acc,,,,NOUN,Begriff | Begriffe
Beispiel,Dat,Sing,Neut,,NOUN,B. | Beispiel | Beispiele
Beispiel,Dat,Plur,Neut,,NOUN,Beispiele | Beispielen
Beleg,Dat,Sing,Masc,,NOUN,Beleg | Belegen
Benutzer,Dat,Plur,Masc,,NOUN,Benutzer | Benutzern
Berg,Acc,Plur,Masc,,NOUN,Berge | Bergen
Berg,Dat,Sing,Masc,,NOUN,Berg | Berge
Bericht,Dat,Sing,Masc,,NOUN,Bericht | Berichte
Bericht,Dat,Plur,Masc,,NOUN,Berichte | Berichten
Beruf,Dat,Sing,Masc,,NOUN,Beruf | Berufe
Beschluß,Acc,Sing,Masc,,NOUN,Beschlagnahmebeschluß | Beschluss | Beschluß
Beschluß,Dat,Sing,Masc,,NOUN,Beschluss | Beschluß
Beschuß,Dat,Sing,Masc,,NOUN,Beschuss | Beschuß
Beschuß,Acc,Sing,Masc,,NOUN,Beschuss | Beschuß
Beschäftigt,Acc,Plur,,,NOUN,Beschäftigte | Beschäftigten
Beschäftigter,Acc,Plur,,,NOUN,Beschäftigte | Beschäftigten
Besucher,Dat,Plur,Masc,,NOUN,Besucher | Besuchern
Betrieb,Dat,Sing,Masc,,NOUN,Betrieb | Betriebe
Betriebssystem,Dat,Sing,Neut,,NOUN,Betriebssystem | Betriebssysteme
Betroffen,Dat,Plur,,,NOUN,Betroffen | Betroffenen
Betroffen,Acc,Plur,,,NOUN,Betroffene | Betroffenen
Beweis,Dat,Sing,Masc,,NOUN,Beweis | Beweise
Bild,Dat,Sing,Neut,,NOUN,Bild | Bilde
Bildung,Acc,,,,NOUN,Bildung | Bildungen
Bischof,Dat,Plur,Masc,,NOUN,Bischofs | Bischöfen
Bit,Dat,Plur,Neut,,NOUN,Bit | Bits
Bit,Acc,Plur,Neut,,NOUN,Bit | Bits
Blick,Acc,,,,NOUN,Blick | Blicke
Block,Acc,Plur,Masc,,NOUN,Blocks | Blöcke
Blut,Dat,Sing,Neut,,NOUN,Blut | Blute
Brand,Dat,Sing,Masc,,PROPN,Brand | Brandes | Brands
Browser,Dat,Plur,Masc,,NOUN,Browser | Browsern
Brötchen,Acc,Plur,Neut,,NOUN,Bröchten | Brötchen
Buch,Dat,Sing,Neut,,NOUN,Buch | Buche
Buch,Acc,,,,NOUN,Buch | Bücher
Bund,Dat,Sing,Masc,,NOUN,Bund | Bunde
Bundesland,Dat,Plur,Neut,,NOUN,Bundesländer | Bundesländern
Byte,Dat,Plur,Neut,,NOUN,Byte | Bytes
Byte,Acc,Plur,Neut,,NOUN,Byte | Bytes
Börsenschluss,Dat,Sing,Masc,,NOUN,Börsenschluss | Börsenschluß
Büro,Acc,Sing,Neut,,NOUN,Bürgerbüro | Büro
Büro,Dat,Plur,Neut,,NOUN,Bürgerbüros | Büros
CD,Dat,Plur,Fem,,NOUN,CD | CDs
CD-Laufwerk,Dat,Sing,Neut,,NOUN,CD-Laufwerk | CD-Laufwerke
CD-ROM-Laufwerk,Dat,Sing,Neut,,NOUN,CD-ROM-Laufwerk | CD-ROM-Laufwerke
Caesar,Dat,Sing,Masc,,PROPN,Caesar | Caesars
Cent,Dat,Plur,Masc,,NOUN,Cent | Cents
Cent,Acc,Plur,Masc,,NOUN,Cent | Cents
Christus,Dat,Sing,Masc,,PROPN,Chr | Christus
Code,Acc,Sing,Masc,,NOUN,Code | Codes
Code,Dat,Sing,Masc,,NOUN,Code | Computercode
Computer,Dat,Plur,Masc,,NOUN,Computer | Computern
Computernetz,Dat,Sing,Neut,,NOUN,Computernetz | Computernetze
Computerproblem,Dat,Sing,Neut,,NOUN,Computerproblem | Computerprobleme
Computerspiel,Dat,Sing,Neut,,NOUN,Computerspiel | Computerspiele
Computersystem,Dat,Sing,Neut,,NOUN,Computersystem | Computersysteme
Computersystem,Dat,Plur,Neut,,NOUN,Computersysteme | Computersystemen
Container,Dat,Plur,Masc,,NOUN,Container | Containern
Copyright-Inhaber,Dat,Plur,Masc,,NOUN,Copyright-Inhaber | Copyright-Inhabern
C|Net-Meldung,Dat,Sing,Fem,,NOUN,C | Net-Meldung
DSL-Anschluß,Acc,Sing,Masc,,NOUN,DSL-Anschluss | DSL-Anschluß
DSL-Preis,Dat,Plur,Masc,,NOUN,DSL-Preise | DSL-Preisen
DVD-Laufwerk,Dat,Sing,Neut,,NOUN,DVD-Laufwerk | DVD-Laufwerke
Dank,Dat,Sing,Masc,,NOUN,Dank | Danke
Dateisystem,Dat,Sing,Neut,,NOUN,Dateisystem | Dateisysteme
Datennetz,Dat,Sing,Neut,,NOUN,Datennetz | Datennetze
Datenpaket,Dat,Plur,Neut,,NOUN,Datenpakete | Datenpaketen
Datum,Dat,Sing,Neut,,NOUN,Dateidatum | Datum
Designer,Dat,Plur,Masc,,NOUN,Designer | Designern
Deutsch,Dat,Sing,Neut,,NOUN,Deutsch | Deutschen
Deutsch,Dat,Sing,Fem,,NOUN,Deutschen | Deutscher
Deutsch,Acc,Plur,,,NOUN,Deutsche | Deutschen
Deutsch,Acc,Sing,Neut,,NOUN,Deutsch | Deutsche
Dichtart,Dat,,,,NOUN,Dichtart | Dichtarten
Dichter,Dat,,,,NOUN,Dichter | Dichtern
Dienst,Dat,Sing,Masc,,NOUN,Dienst | Dienste
Dienst,Dat,Plur,Masc,,NOUN,Dienste | Diensten
Dienstleister,Dat,Plur,Masc,,NOUN,Dienstleister | Dienstleistern
Ding,Dat,Plur,Neut,,NOUN,Dingen | Dingern
Disc,Dat,Sing,Fem,,NOUN,CD-R | CD-RW | Disc
Disziplin,Acc,Sing,Fem,,NOUN,Disziplin | Disziplinen
Doktor,Dat,Sing,Masc,,NOUN,Doktor | Dr.
Dollar,Acc,Plur,Masc,,NOUN,Dollar | Dollars
Dollar,Dat,Plur,Masc,,NOUN,Dollar | Dollars
Dom,Dat,Sing,Masc,,NOUN,Dom | Dome
Download-Angebot,Dat,Sing,Neut,,NOUN,Download-Angebot | Download-Angebote
Drittel,Dat,Plur,Neut,,NOUN,Drittel | Dritteln
Druck,Dat,Plur,Fem,,NOUN,Drucken | Drücken
Dunkel,Dat,Sing,Neut,,NOUN,Dunkel | Dunkeln
Durchsuchungsbeschluß,Acc,Sing,Masc,,NOUN,Durchsuchungsbeschluss | Durchsuchungsbeschluß
Dutzend,Dat,Plur,Neut,,NOUN,Dutzend | Dutzenden
EU-Land,Dat,Plur,Neut,,NOUN,EU-Länder | EU-Ländern
EU-Wettbewerbshüter,Dat,Plur,Masc,,NOUN,EU-Wettbewerbshüter | EU-Wettbewerbshütern
Effekt,Dat,Plur,Masc,,NOUN,Effekte | Effekten
Eigenheit,Acc,,,,NOUN,Eigenheit | Eigenheiten
Einfluß,Acc,Sing,Masc,,NOUN,Einfluss | Einfluß
Einfluß,Dat,Sing,Masc,,NOUN,Einfluss | Einfluß
Einwohner,Dat,Plur,Masc,,NOUN,Einwohner | Einwohnern
Einzelpreis,Dat,Sing,Masc,,NOUN,Einzelpreis | Einzelpreise
Elegie,Dat,,,,NOUN,Elegie | Elegien
Endgerät,Dat,Sing,Neut,,NOUN,Endgerät | Endgeräte
Energiekonzern,Dat,Plur,Masc,,NOUN,Energiekonzern | Energiekonzernen
Englisch,Dat,Sing,Neut,,NOUN,Englisch | Englischen
Engpaß,Acc,Plur,Masc,,NOUN,Engpässe | Engpäße
Ensemble,Dat,Sing,Neut,,NOUN,Ensemble | Ensembles
Entschluß,Dat,Sing,Masc,,NOUN,Entschluss | Entschluß
Erde,Dat,Sing,Fem,,NOUN,Erde | Erden
Erdgeschoß,Dat,Sing,Neut,,NOUN,Erdgeschoss | Erdgeschoß
Ereignis,Dat,Sing,Neut,,NOUN,Ereignis | Ereignisse
Erfolg,Dat,Sing,Masc,,NOUN,Erfolg | Erfolge
Erfolgsfall,Dat,Sing,Masc,,NOUN,Erfolgsfall | Erfolgsfalle
Erfordernis,Acc,Plur,Neut,,NOUN,Erfordernisse | Erfordernissen
Erkenntnis,Dat,Plur,Fem,,NOUN,Erkenntnisse | Erkenntnissen
Erlaß,Dat,Sing,Masc,,NOUN,Erlass | Erlaß
Erlaß,Acc,Sing,Masc,,NOUN,Erlass | Erlaß
Erlös,Dat,Sing,Masc,,NOUN,Erlös | Erlöse
Ersatz,Dat,Sing,Masc,,NOUN,Ersatz | Ersatze
Ersatzteil,Acc,Sing,Neut,,NOUN,Ersatzteil | Ersatzteile
Erschließung,Dat,Sing,Fem,,NOUN,Erschliessung | Erschließung
Erwachsene,Acc,Plur,,,NOUN,Erwachsene | Erwachsenen
Essen,Acc,Sing,Neut,,NOUN,Essen | essen
Euro,Dat,Plur,Masc,,NOUN,Euro | Euros
Ex-Monopolist,Dat,Sing,Masc,,NOUN,Ex-Monopolist | Ex-Monopolisten
Ex-Präsident,Acc,Sing,Masc,,NOUN,Ex-Präsident | Ex-Präsidenten
Exmonopolist,Dat,Sing,Masc,,NOUN,Exmonopolist | Exmonopolisten
Export,Acc,Plur,Masc,,NOUN,Export | Exporte
Fahrrad,Dat,Sing,Neut,,NOUN,Fahrrad | fahrrad
Fall,Dat,Sing,Masc,,NOUN,Fall | Falle
Fassade,Dat,Sing,Fem,,NOUN,Fassade | Fassaden
Fax,Dat,Sing,Neut,,NOUN,Fax | Faxe
Faxgerät,Dat,Sing,Neut,,NOUN,Faxgerät | Faxgeräte
Feld,Dat,Sing,Neut,,NOUN,Feld | Felde
Ferngespräch,Acc,Sing,Neut,,NOUN,Ferngespräch | Ferngespräche
Ferngespräch,Dat,Sing,Neut,,NOUN,Ferngespräch | Ferngespräche
Fernsehgerät,Dat,Sing,Neut,,NOUN,Fernsehgerät | Fernsehgeräte
Fertigungsprozeß,Acc,Sing,Masc,,NOUN,Fertigungsprozess | Fertigungsprozeß
Festnetz,Dat,Sing,Neut,,NOUN,Festnetz | Festnetze
Festnetzanschluß,Acc,Sing,Masc,,NOUN,Festnetzanschluss | Festnetzanschluß
Filtersystem,Dat,Sing,Neut,,NOUN,Filtersystem | Filtersysteme
Finanzbericht,Dat,Sing,Masc,,NOUN,Finanzbericht | Finanzberichte
Finanzdienst,Dat,Sing,Masc,,NOUN,Finanzdienst | Finanzdienste
FireWire-Anschluß,Dat,Sing,Masc,,NOUN,FireWire-Anschluss | FireWire-Anschluß
Firmennetzwerk,Dat,Sing,Neut,,NOUN,Firmennetzwerk | Firmennetzwerke
Flash-Baustein,Dat,Sing,Masc,,NOUN,Flash-Baustein | Flash-Bausteine
Flash-Memory-Baustein,Dat,Plur,Masc,,NOUN,Flash-Memory-Bausteine | Flash-Memory-Bausteinen
Flughafen,Dat,Plur,Masc,,NOUN,Flughafen | Flughäfen
Fluß,Dat,Sing,Masc,,NOUN,Fluss | Fluß
Form,Acc,,,,NOUN,Form | Formen
Format,Dat,Sing,Neut,,NOUN,Format | Formate
Forscher,Dat,Plur,Masc,,NOUN,Forscher | Forschern
Fortschritt,Dat,Sing,Masc,,NOUN,Fortschritt | Fortschritte
Forum,Dat,Sing,Neut,,NOUN,Forum | Forums
Frage,Dat,,,,NOUN,Frage | Fragen
Franc,Acc,Plur,Masc,,NOUN,Franc | Francs
Franc,Dat,Plur,Masc,,NOUN,Franc | Francs
Freiberufler,Dat,Plur,Masc,,NOUN,Freiberufler | Freiberuflern
Freude,Acc,,,,NOUN,Freude | Freuden
Freund,Dat,Sing,Masc,,NOUN,Freund | Freunde
Freundin,Dat,Sing,Fem,,NOUN,Freundin | freundin
Fuß,Dat,Sing,Masc,,NOUN,Fuß | Fuße
Fuß,Dat,Plur,Masc,,NOUN,Fuß | Füßen
Fuß,Acc,Sing,Masc,,NOUN,Fuss | Fuß
Fußball,Acc,Sing,Masc,,NOUN,Fussball | Fußball
Fußballmannschaft,Dat,Sing,Fem,,NOUN,Fussballmannschaft | Fußballmannschaft
Fürst,Dat,Sing,Masc,,NOUN,Fürst | Fürsten
Gang,Dat,Sing,Masc,,NOUN,Gang | Gange
Gattung,Acc,,,,NOUN,Gattung | Gattungen
Gebot,Dat,Sing,Neut,,NOUN,Gebot | Gebote
Gedicht,Dat,,,,NOUN,Gedicht | Gedichten
Gefühl,Acc,Sing,Neut,,NOUN,Gefühl | gefühl
Gegenstand,Dat,,,,NOUN,Gegenstande | Gegenständen
Gegenstand,Acc,,,,NOUN,Gegenstand | Gegenstände
Gehalt,Dat,Plur,Neut,,NOUN,Gehälter | Gehältern
Gehäuse,Dat,Sing,Neut,,NOUN,Gehäuse | Gehäusen
Geist,Dat,Sing,Masc,,NOUN,Geist | Geiste
Geist,Dat,,,,NOUN,Geist | Geiste
Geld,Dat,Plur,Neut,,NOUN,Gebührengeldern | Geldern
Gen,Dat,Sing,Neut,,NOUN,Gen | Gene
Genuß,Acc,Sing,Masc,,NOUN,Genuss | Genuß
Genuß,Dat,Sing,Masc,,NOUN,Genuss | Genuß
George,Dat,Sing,Masc,,PROPN,George | Georges
Gerichtsbeschluss,Acc,Sing,Masc,,NOUN,Gerichtsbeschluss | Gerichtsbeschluß
Gerät,Dat,Plur,Neut,,NOUN,Geräte | Geräten
Gerät,Dat,Sing,Neut,,NOUN,Gerät | Geräte
Gerücht,Dat,Sing,Neut,,NOUN,Gerücht | Gerüchte
Geschoß,Acc,Sing,Neut,,NOUN,Geschoss | Geschoß
Geschäft,Dat,Sing,Neut,,NOUN,Geschäft | Geschäfte
Geschäftsfeld,Dat,Plur,Neut,,NOUN,Geschäftsfelder | Geschäftsfeldern
Geschäftsmodell,Dat,Sing,Neut,,NOUN,Geschäftsmodell | Geschäftsmodelle
Gesellschafter,Dat,Plur,Masc,,NOUN,Gesellschafter | Gesellschaftern
Gesetz,Dat,Sing,Neut,,NOUN,Gesetz | Gesetze
Gesetz,Dat,,,,NOUN,Gesetze | Gesetzen
Gesetz,Acc,,,,NOUN,Gesetz | Gesetze
Gesichtspunkt,Dat,,,,NOUN,Gesichtspunkt | Gesichtspunkte | Gesichtspunkten
Gespräch,Dat,Sing,Neut,,NOUN,Gespräch | Gespräche
Gestalt,Acc,,,,NOUN,Gestalt | Gestalten
Getränk,Acc,Sing,Neut,,NOUN,Getränk | Getränke
Gewand,Dat,Sing,Neut,,NOUN,Gewand | Gewande
Gewinn,Dat,Sing,Masc,,NOUN,Gewinn | Gewinne
Gitarrist,Dat,Sing,Masc,,NOUN,Gitarrist | Gitarristen
Glied,Acc,,,,NOUN,Glied | Glieder
Grab,Dat,Sing,Neut,,NOUN,Grab | Grabe
Graf,Dat,Sing,Masc,,PROPN,Graf | Grafen
Graphit,Dat,Sing,Masc,,NOUN,Graphit | Graphite
Großraum,Dat,Sing,Masc,,NOUN,Grossraum | Großraum
Großteil,Dat,Sing,Masc,,NOUN,Grossteil | Großteil
Grund,Dat,Sing,Masc,,NOUN,Grund | Grunde
Grund,Dat,,,,NOUN,Grund | Grunde
Gruß,Dat,Plur,Masc,,NOUN,Grüssen | Grüßen
Gut,Dat,Plur,Neut,,NOUN,Güter | Gütern
Gut,Dat,Sing,Neut,,NOUN,Gut | Gute
Gut,Acc,Sing,Neut,,NOUN,Gut | Gute
Gutmensch,Dat,Sing,Masc,,NOUN,Gutmensch | Gutmenschen
Halbjahresabschluß,Acc,Sing,Masc,,NOUN,Halbjahresabschluss | Halbjahresabschluß
Hals,Dat,Sing,Masc,,NOUN,Hals | Halse
Hand,Dat,,,,NOUN,Hand | Händen
Handelsplatz,Dat,Plur,Masc,,NOUN,Handelsplätze | Handelsplätzen
Hang,Acc,Plur,Masc,,NOUN,Hänge | Hängen
Hauptkonkurrent,Dat,Sing,Masc,,NOUN,Hauptkonkurrent | Hauptkonkurrenten
Haus,Dat,Sing,Neut,,NOUN,Handelshaus | Haus | Hause
Haus,Dat,,,,NOUN,Haus | Hause
Haushaltsausschuß,Acc,Sing,Masc,,NOUN,Haushaltsausschuss | Haushaltsausschuß
Haustürgeschäft,Dat,Plur,Neut,,NOUN,Haustürgeschäfte | Haustürgeschäften
Haß,Acc,Sing,Masc,,NOUN,Hass | Haß
Heim,Dat,Sing,Neut,,NOUN,Heim | Heime
Herr,Dat,Sing,Masc,,NOUN,Herren | Herrn
Herr,Acc,Sing,Masc,,NOUN,Herr | Herren | Herrn
Hersteller,Dat,Plur,Masc,,NOUN,Hersteller | Herstellern
Herz,Dat,Sing,Neut,,NOUN,Herz | Herzen
Hintergrund,Dat,Sing,Masc,,NOUN,HINTERGRUND | Hintergrund
Hinweis,Dat,Sing,Masc,,NOUN,Hinweis | Hinweise
Hirsch,Dat,Sing,Masc,,NOUN,Hirsch | Hirschen
Hochschulabschluß,Acc,Sing,Masc,,NOUN,Hochschulabschluss | Hochschulabschluß
Hof,Dat,Sing,Masc,,NOUN,Hof | Hofe
Hotel,Acc,Sing,Neut,,NOUN,Hotel | hotel
Hotel,Acc,Sing,Masc,,PROPN,HOTEL | Hotel
Hundert,Dat,Sing,Neut,,NOUN,Hundert | Hunderte
Hypothese,Acc,,,,NOUN,Hypothese | Hypothesen
Hörgenuß,Acc,Sing,Masc,,NOUN,Hörgenuss | Hörgenuß
I,Dat,Sing,Masc,,PROPN,I | IS
IBM-Labor,Dat,Plur,Neut,,NOUN,IBM-Laboren | IBM-Labors
ISDN-Anschluß,Acc,Sing,Masc,,NOUN,ISDN-Anschluss | ISDN-Anschluß
ISDN-Anschluß,Dat,Sing,Masc,,NOUN,ISDN-Anschluss | ISDN-Anschluß
ISDN-Komfortanschluß,Acc,Sing,Masc,,NOUN,ISDN-Komfortanschluss | ISDN-Komfortanschluß
Ideal,Acc,,,,NOUN,Ideal | Ideale
Ideal,Dat,,,,NOUN,Ideal | Idealen
Idee,Acc,,,,NOUN,Idee | Ideen
Idee,Dat,,,,NOUN,Idee | Ideen
Individualität,Acc,,,,NOUN,Individualität | Individualitäten
Individuum,Acc,,,,NOUN,Individuen | Individuum
Individuum,Dat,,,,NOUN,Individuen | Individuum
Indiz,Acc,Sing,Neut,,NOUN,Indiz | Indizien
Informationsfluß,Acc,Sing,Masc,,NOUN,Informationsfluss | Informationsfluß
Inhalt,Dat,Sing,Masc,,NOUN,Inhalt | Inhalte
Inner,Dat,Sing,,,NOUN,Inneren | Innern
Inner,Acc,Sing,Neut,,NOUN,Innere | Inneres
Insider-Geschäft,Dat,Sing,Neut,,NOUN,Insider-Geschäft | Insider-Geschäfte
Insidergeschäft,Dat,Plur,Neut,,NOUN,Insidergeschäfte | Insidergeschäften
Institut,Acc,Sing,Neut,,PROPN,Institut | Institute
Institut,Dat,Sing,Neut,,NOUN,Institut | Institute
Instrument,Dat,Sing,Neut,,NOUN,Instrument | Instrumente
Intel-PC,Acc,Plur,Masc,,NOUN,Intel-PC | Intel-PCs
Intelligenzquotient,Dat,Sing,Masc,,NOUN,Intelligenzquotient | Intelligenzquotienten
Interessiert,Acc,Plur,,,NOUN,Interessierte | Interessierten
Internet-Anschluß,Acc,Sing,Masc,,NOUN,Internet-Anschluss | Internet-Anschluß
Internet-Anschluß,Dat,Sing,Masc,,NOUN,Internet-Anschluss | Internet-Anschluß
Internet-Geschäft,Dat,Sing,Neut,,NOUN,Internet-Geschäft | Internet-Geschäfte
Internet-Nutzer,Dat,Plur,Masc,,NOUN,Internet-Nutzer | Internet-Nutzern
Internet-Provider,Dat,Plur,Masc,,NOUN,Internet-Provider | Internet-Providern
Internetanschluß,Dat,Sing,Masc,,NOUN,Internetanschluss | Internetanschluß
Internetanschluß,Acc,Sing,Masc,,NOUN,Internetanschluss | Internetanschluß
Internetprovider,Dat,Plur,Masc,,NOUN,Internetprovider | Internetprovidern
Irrweg,Dat,Plur,Masc,,NOUN,Irrwege | Irrwegen
Italienisch,Dat,Sing,Neut,,NOUN,Italienisch | Italienischen
Jahr,Dat,Plur,Neut,,NOUN,Jahre | Jahren
Jahr,Acc,Sing,Neut,,NOUN,Jahr | Jahre | jahr
Jahr,Acc,Plur,Neut,,NOUN,Jahre | Jahren
Jahr,Dat,Sing,Neut,,NOUN,Jahr | Jahre
Jahrestag,Dat,Sing,Masc,,NOUN,Jahrestag | Jahrestage
Jahresüberschuß,Acc,Sing,Masc,,NOUN,Jahresüberschuss | Jahresüberschuß
Jahrhundert,Dat,Plur,Neut,,NOUN,Jahrhunderten | Jahrhunderts
Jahrhundert,Acc,Plur,Neut,,NOUN,Jahrhunderte | Jahrhunderts
Johann,Dat,Sing,Masc,,PROPN,Johann | Johanns
Jugendlich,Acc,Plur,,,NOUN,Jugendliche | Jugendlichen
Jugendlicher,Acc,Plur,,,NOUN,Jugendliche | Jugendlichen
Justizausschuß,Dat,Sing,Masc,,NOUN,Justizausschuss | Justizausschuß
Kabel,Dat,Plur,Neut,,NOUN,Kabel | Kabeln
Kabelnetz,Dat,Sing,Neut,,NOUN,Kabelnetz | Kabelnetze
Kabelnetzbetreiber,Dat,Plur,Masc,,NOUN,Kabelnetzbetreiber | Kabelnetzbetreibern
Kabinettsbeschluß,Acc,Sing,Masc,,NOUN,Kabinettsbeschluss | Kabinettsbeschluß
Kampf,Dat,Sing,Masc,,NOUN,Kampf | Kapf
Kandidat,Acc,Sing,Masc,,NOUN,Kandidat | Kandidaten
Karl,Dat,Sing,Masc,,PROPN,Karl | Karls
Kartellprozess,Dat,Sing,Masc,,NOUN,Kartellprozess | Kartellprozeß
Kartellrechtsprozeß,Dat,Sing,Masc,,NOUN,Kartellrechtsprozess | Kartellrechtsprozeß
Kaufabschluß,Dat,Sing,Masc,,NOUN,Kaufabschluss | Kaufabschluß
Kennwort,Dat,Sing,Neut,,NOUN,Kennwort | Kennworte
Kilometer,Dat,Plur,Masc,,NOUN,Kilometer | Kilometern
Kind,Dat,Plur,Neut,,NOUN,Kinder | Kindern
Kind,Dat,Sing,Neut,,NOUN,Kind | Kindes
Kind,Dat,,,,NOUN,Kinde | Kindern
Kiosk,Acc,Plur,Masc,,NOUN,Kiosk | Kioske
Kommentar,Dat,Sing,Masc,,NOUN,Kommentar | Kommentare
Kommunikationsdienst,Dat,Plur,Masc,,NOUN,Kommunikationsdienste | Kommunikationsdiensten
Kommunikationsnetz,Dat,Sing,Neut,,NOUN,Kommunikationsnetz | Kommunikationsnetze
