Lemma,Case,Number,Gender,Degree,Upos,Forms
ACG-Aktie,Dat,Plur,Fem,,NOUN,ACG-Aktien
ACK,Dat,Sing,Fem,,PROPN,ACK
ACL-Scanner,Acc,Sing,Masc,,NOUN,ACL-Scanner
ACLU,Dat,Sing,Fem,,NOUN,ACLU
ACM-Verfahren,Acc,Sing,Neut,,NOUN,ACM-Verfahren
ACPI-Hompage,Dat,Sing,Fem,,NOUN,ACPI-Hompage
ACR-Slot,Acc,Sing,Masc,,NOUN,ACR-Slot
ACT,Acc,Plur,,,NOUN,ACT
ACT,Acc,,,,PROPN,ACT
ACT!,Dat,Sing,,,PROPN,ACT!
ACT!,Acc,Sing,,,PROPN,ACT!
AD-Experiment,Dat,Sing,Neut,,NOUN,AD-Experiment
ADAC,Dat,Sing,,,PROPN,ADAC
ADAC,Acc,Sing,,,PROPN,ADAC
ADB,Dat,Sing,Neut,,PROPN,ADB
ADC-Jury,Acc,Sing,Fem,,NOUN,ADC-Jury
ADC-Port,Acc,Sing,Masc,,NOUN,ADC-Port
ADFC,Dat,Sing,Masc,,PROPN,ADFC
ADI,Dat,Sing,,,PROPN,ADI
ADIZ-Angabe,Dat,Plur,Fem,,NOUN,ADIZ-Angaben
ADSL,Acc,,,,NOUN,ADSL
ADSL-Anbieter,Dat,Plur,Masc,,NOUN,ADSL-Anbietern
ADSL-Anbindung,Acc,Sing,Fem,,NOUN,ADSL-Anbindung
ADSL-Angebot,Dat,Sing,Neut,,NOUN,ADSL-Angebot
ADSL-Angebot,Dat,Plur,Neut,,NOUN,ADSL-Angeboten
ADSL-Angebot,Acc,Sing,Neut,,NOUN,ADSL-Angebot
ADSL-Anschluß,Dat,Sing,Masc,,NOUN,ADSL-Anschluss
ADSL-Anschluß,Acc,Sing,Masc,,NOUN,ADSL-Anschluss
ADSL-Basis,Dat,Sing,Fem,,NOUN,ADSL-Basis
ADSL-Bereich,Dat,Sing,Masc,,NOUN,ADSL-Bereich
ADSL-Chipsatz,Dat,Sing,Masc,,NOUN,ADSL-Chipsatz
ADSL-Chipsatz,Dat,Plur,Masc,,NOUN,ADSL-Chipsätzen
ADSL-Dienst,Dat,Sing,Masc,,NOUN,ADSL-Dienst
ADSL-Endgerätemarkt,Acc,Sing,Masc,,NOUN,ADSL-Endgerätemarkt
ADSL-Feldversuch,Acc,Sing,Masc,,NOUN,ADSL-Feldversuch
ADSL-Flatrate,Dat,Sing,Fem,,NOUN,ADSL-Flatrate
ADSL-Flatrate,Acc,Sing,Fem,,NOUN,ADSL-Flatrate
ADSL-Gegenstelle,Dat,Plur,Fem,,NOUN,ADSL-Gegenstellen
ADSL-Geschäft,Acc,Sing,Neut,,NOUN,ADSL-Geschäft
ADSL-Internetanschluß,Dat,Plur,Masc,,NOUN,ADSL-Internetanschlüssen
ADSL-Leitung,Dat,Sing,Fem,,NOUN,ADSL-Leitung
ADSL-Leitung,Dat,Plur,Fem,,NOUN,ADSL-Leitungen
ADSL-Lite-Standard,Acc,Plur,Masc,,NOUN,ADSL-Lite-Standards
ADSL-Lösung,Dat,Plur,Fem,,NOUN,ADSL-Lösungen
ADSL-Markt,Dat,Sing,Masc,,NOUN,ADSL-Markt
ADSL-Markt,Acc,Sing,Masc,,NOUN,ADSL-Markt
ADSL-Modem,Acc,Sing,Neut,,NOUN,ADSL-Modem
ADSL-Modem,Dat,Plur,Neut,,NOUN,ADSL-Modems
ADSL-Niveau,Dat,Sing,Neut,,NOUN,ADSL-Niveau
ADSL-Projekt,Acc,Sing,Neut,,NOUN,ADSL-Projekt
ADSL-Standard,Acc,Sing,Masc,,NOUN,ADSL-Standard
ADSL-Strecke,Acc,Plur,Fem,,NOUN,ADSL-Strecken
ADSL-Strecke,Acc,Sing,Fem,,NOUN,ADSL-Strecke
ADSL-Tarif,Acc,Sing,Masc,,NOUN,ADSL-Tarif
ADSL-Technik,Acc,Sing,Fem,,NOUN,ADSL-Technik
ADSL-Technik,Dat,Sing,Fem,,NOUN,ADSL-Technik
ADSL-Verbindung,Acc,Sing,Fem,,NOUN,ADSL-Verbindung
ADSL-Zugang,Dat,Plur,Masc,,NOUN,ADSL-Zugängen
ADSL-Zugang,Acc,Sing,Masc,,NOUN,ADSL-Zugang
ADSL/ISDN-Controller,Acc,Sing,Masc,,NOUN,ADSL/ISDN-Controller
AE,Dat,Plur,Neut,,NOUN,AE
AEFV,Dat,Sing,Masc,,PROPN,AEFV
AEG,Acc,Sing,Fem,,PROPN,AEG
AEG,Dat,Sing,,,PROPN,AEG
AEK,Dat,Sing,Masc,,PROPN,AEK
AEK,Dat,Sing,Neut,,PROPN,AEK
AES-Konferenz,Dat,Sing,Fem,,NOUN,AES-Konferenz
AFC,Acc,Sing,Masc,,PROPN,AFC
AFC-Beschichtung,Acc,Plur,,,NOUN,AFC-Beschichtung
AFC-Medium,Dat,Plur,Neut,,NOUN,AFC-Medien
AFP,Dat,Sing,,,PROPN,AFP
AFR,Dat,,,,NOUN,AFR
AG,Dat,Sing,Fem,,PROPN,AG
AG,Acc,Sing,Fem,,NOUN,AG
AG,Dat,Sing,Fem,,NOUN,AG
AG-Port,Acc,Sing,Masc,,NOUN,AG-Port
AGB-Klausel,Acc,Sing,Fem,,NOUN,AGB-Klausel
AGB-Verstoß,Dat,Plur,Masc,,NOUN,AGB-Verstößen
AGBs,Dat,,,,NOUN,AGBs
AGP-(Pro)-Grafikkarte,Dat,Sing,Fem,,NOUN,AGP-(Pro)-Grafikkarte
AGP-1X-Modus,Dat,Sing,Masc,,NOUN,AGP-1X-Modus
AGP-2.0-Spezifikation,Dat,Sing,Fem,,NOUN,AGP-2.0-Spezifikation
AGP-2X-Modus,Dat,Sing,Masc,,NOUN,AGP-2X-Modus
AGP-3D-Grafikkarte,Dat,Sing,Fem,,NOUN,AGP-3D-Grafikkarte
AGP-4X-Anschluß,Acc,Sing,Masc,,NOUN,AGP-4X-Anschluss
AGP-4X-Grafikkarte,Acc,Sing,Fem,,NOUN,AGP-4X-Grafikkarte
AGP-4X-Grafikslot,Dat,Sing,Masc,,NOUN,AGP-4X-Grafikslot
AGP-4X-Modus,Acc,Sing,Masc,,NOUN,AGP-4X-Modus
AGP-4X-Modus,Dat,Sing,Masc,,NOUN,AGP-4X-Modus
AGP-4X-System,Dat,Sing,Neut,,NOUN,AGP-4X-System
AGP-8X-Grafikkarte,Dat,Plur,Fem,,NOUN,AGP-8X-Grafikkarten
AGP-8X-Modus,Dat,Sing,Masc,,NOUN,AGP-8X-Modus
AGP-8X-Spezifikation,Dat,Sing,Fem,,NOUN,AGP-8X-Spezifikation
AGP-Bus,Acc,Sing,Masc,,NOUN,AGP-Bus
AGP-Geschwindigkeit,Dat,Sing,Fem,,NOUN,AGP-Geschwindigkeit
AGP-Grafikkarte,Dat,Sing,Fem,,NOUN,AGP-Grafikkarte
AGP-Grafikkarte,Acc,Sing,Fem,,NOUN,AGP-Grafikkarte
AGP-Grafikkarte,Acc,Plur,Fem,,NOUN,AGP-Grafikkarten
AGP-Grafikkarte,Dat,Plur,Fem,,NOUN,AGP-Grafikkarten
AGP-Lesezyklus,Dat,Plur,Masc,,NOUN,AGP-Lesezyklen
AGP-Modus,Acc,Sing,Masc,,NOUN,AGP-Modus
AGP-Port,Acc,Sing,Masc,,NOUN,AGP-Port
AGP-Pro-50-System,Acc,Plur,Neut,,NOUN,AGP-Pro-50-Systeme
AGP-Pro-Steckplatz,Acc,Sing,Masc,,NOUN,AGP-Pro-Steckplatz
AGP-Pro50-System,Acc,Plur,Neut,,NOUN,AGP-Pro50-Systeme
AGP-Slot,Dat,Sing,Masc,,NOUN,AGP-Slot
AGP-Slot,Acc,Plur,Masc,,NOUN,AGP-Slots
AGP-Spezifikation,Dat,Plur,Fem,,NOUN,AGP-Spezifikationen
AGP-Steckplatz,Acc,Sing,Masc,,NOUN,AGP-Steckplatz
AGP-Steckplatz,Dat,Sing,Masc,,NOUN,AGP-Steckplatz
AGP-Support,Acc,Sing,Masc,,NOUN,AGP-Support
AGP-Transfer,Acc,Sing,Masc,,NOUN,AGP-Transfer
AGPx4-Mainboard,Dat,Plur,Neut,,NOUN,AGPx4-Mainboards
AHL,Dat,Sing,Fem,,PROPN,AHL
AHL,Acc,Sing,Neut,,PROPN,AHL
AIDS,Dat,,,,NOUN,AIDS
AIDS,Acc,Sing,Masc,,NOUN,AIDS
AIDS-Forschung,Acc,Sing,Fem,,NOUN,AIDS-Forschung
AIDS-Impfstoff,Acc,Sing,Masc,,NOUN,AIDS-Impfstoff
AIDS-Prävention,Acc,Sing,Fem,,NOUN,AIDS-Prävention
AIDS-Virus,Acc,Sing,Masc,,NOUN,AIDS-Virus
AIM-Benutzer,Dat,Plur,Masc,,NOUN,AIM-Benutzern
AIM-Buddyliste,Acc,Plur,Fem,,NOUN,AIM-Buddylisten
AIM-Dienst,Dat,Sing,Masc,,NOUN,AIM-Dienst
AIM-Lösung,Acc,Sing,Fem,,NOUN,AIM-Lösung
AIM-Netz,Acc,Sing,Neut,,NOUN,AIM-Netz
AIM-Nutzer,Dat,Plur,Masc,,NOUN,AIM-Nutzern
AIM-Protokoll,Acc,Sing,Neut,,NOUN,AIM-Protokoll
AIM-Service,Dat,Sing,Masc,,NOUN,AIM-Service
AIM-Version,Acc,Sing,Fem,,NOUN,AIM-Version
AIMster-Seite,Dat,Sing,Fem,,NOUN,AIMster-Seite
AIT-Direktor,Dat,Sing,Masc,,NOUN,AIT-Direktor
AIX-System,Acc,Plur,Neut,,NOUN,AIX-Systeme
AK,Acc,Sing,Neut,,PROPN,AK
AKC,Dat,Sing,Masc,,PROPN,AKC
AKW,Dat,Plur,Neut,,NOUN,AKWs
AKW,Acc,Plur,Neut,,NOUN,AKWs
AKdH-Angabe,Dat,Plur,Fem,,NOUN,AKdH-Angaben
ALADDiN-PRO-5-Chipsatz,Dat,Sing,Masc,,NOUN,ALADDiN-PRO-5-Chipsatz
ALDI,Dat,Sing,,,PROPN,ALDI
ALDI-Muster,Dat,Sing,Neut,,NOUN,ALDI-Muster
ALTIG,Dat,Sing,Masc,,PROPN,ALTIG
ALX-Linie,Acc,Sing,Fem,,NOUN,ALX-Linie
ALi-Chipsatz,Dat,Sing,Masc,,NOUN,ALi-Chipsatz
ALi-Chipsatz,Dat,Plur,Masc,,NOUN,ALi-Chipsätzen
ALi-TNT2-Chipsatz,Dat,Sing,Masc,,NOUN,ALi-TNT2-Chipsatz
AM-Frequenz,Dat,Sing,Fem,,NOUN,AM-Frequenz
AM-Frequenz,Acc,Plur,Fem,,NOUN,AM-Frequenzen
AM-Kanal,Dat,Sing,Masc,,NOUN,AM-Kanal
AMACC-Prüfer,Dat,Plur,Masc,,NOUN,AMACC-Prüfern
AMC,Acc,Sing,,,PROPN,AMC
AMD,Dat,Sing,Neut,,PROPN,AMD
AMD,Dat,Sing,,,PROPN,AMD
AMD,Acc,Sing,,,PROPN,AMD
AMD,Dat,Sing,Fem,,PROPN,AMD
AMD-760-Chipsatz,Dat,Sing,Masc,,NOUN,AMD-760-Chipsatz
AMD-760-Chipsatz,Acc,Sing,Masc,,NOUN,AMD-760-Chipsatz
AMD-760-MP-Chipsatz,Dat,Sing,Masc,,NOUN,AMD-760-MP-Chipsatz
AMD-760-Mainboard,Dat,Plur,Neut,,NOUN,AMD-760-Mainboards
AMD-761-Chipsatz,Dat,Sing,Masc,,NOUN,AMD-761-Chipsatz
AMD-761-Northbridge,Dat,Sing,Neut,,NOUN,AMD-761-Northbridge
AMD-Aktie,Dat,Plur,Fem,,NOUN,AMD-Aktien
AMD-Aktie,Dat,Sing,Fem,,NOUN,AMD-Aktie
AMD-Angabe,Dat,Plur,Fem,,NOUN,AMD-Angaben
AMD-Athlon,Dat,Sing,Masc,,NOUN,AMD-Athlon
AMD-Athlon-CPU,Dat,Plur,Fem,,NOUN,AMD-Athlon-CPUs
AMD-Athlon-CPU,Acc,Plur,Fem,,NOUN,AMD-Athlon-CPUs
AMD-Athlon-Gigahertz-Prozessor,Dat,Plur,Masc,,NOUN,AMD-Athlon-Gigahertz-Prozessoren
AMD-Athlon-Prozessor,Acc,Sing,Masc,,NOUN,AMD-Athlon-Prozessor
AMD-Athlon-Prozessor,Dat,Sing,Masc,,NOUN,AMD-Athlon-Prozessor
AMD-Bereich,Acc,Sing,Masc,,NOUN,AMD-Bereich
AMD-Bilanz,Acc,Sing,Fem,,NOUN,AMD-Bilanz
AMD-CPU,Acc,Plur,Fem,,NOUN,AMD-CPUs
AMD-CPU,Dat,Sing,Fem,,NOUN,AMD-CPU
AMD-CPU,Dat,Plur,Fem,,NOUN,AMD-CPUs
AMD-Chef,Dat,Sing,Masc,,NOUN,AMD-Chef
AMD-Chef,Acc,Sing,Masc,,NOUN,AMD-Chef
AMD-Chip,Acc,Sing,Masc,,NOUN,AMD-Chip
AMD-Chip,Acc,Plur,Masc,,NOUN,AMD-Chips
AMD-Duron-Preis,Acc,Plur,Masc,,NOUN,AMD-Duron-Preise
AMD-Duron-Prozessor,Dat,Sing,Masc,,NOUN,AMD-Duron-Prozessor
AMD-Entwicklungsboard,Dat,Sing,Neut,,NOUN,AMD-Entwicklungsboard
AMD-Fan,Acc,Plur,Masc,,NOUN,AMD-Fans
AMD-Führungsspitze,Dat,Sing,Fem,,NOUN,AMD-Führungsspitze
AMD-Halbleiterwerk,Acc,Sing,Neut,,NOUN,AMD-Halbleiterwerk
AMD-Hardware,Dat,Sing,Fem,,NOUN,AMD-Hardware
AMD-Hotline,Acc,Sing,Fem,,NOUN,AMD-Hotline
AMD-Irongate-Chipsatz,Dat,Sing,Masc,,NOUN,AMD-Irongate-Chipsatz
AMD-K6-2-Prozessor,Dat,Plur,Masc,,NOUN,AMD-K6-2-Prozessoren
AMD-K6-III-Prozessor,Dat,Sing,Masc,,NOUN,AMD-K6-III-Prozessor
AMD-K7-Slot,Dat,Sing,Masc,,NOUN,AMD-K7-Slot
AMD-Konkurrenz,Dat,Sing,Fem,,NOUN,AMD-Konkurrenz
AMD-Kreis,Dat,Plur,Masc,,NOUN,AMD-Kreisen
AMD-Manager,Dat,Sing,Masc,,NOUN,AMD-Manager
AMD-Manager,Acc,Sing,Masc,,NOUN,AMD-Manager
AMD-Mitteilung,Dat,Sing,Fem,,NOUN,AMD-Mitteilung
AMD-Notebook,Acc,Plur,Neut,,NOUN,AMD-Notebooks
AMD-Pferd,Acc,Sing,Neut,,NOUN,AMD-Pferd
AMD-Premierenfeier,Dat,Sing,Fem,,NOUN,AMD-Premierenfeier
AMD-Pressekonferenz,Dat,Sing,Fem,,NOUN,AMD-Pressekonferenz
AMD-Pressemeldung,Acc,Sing,Fem,,NOUN,AMD-Pressemeldung
AMD-Prozessor,Dat,Plur,Masc,,NOUN,AMD-Prozessoren
AMD-Prozessor,Acc,Plur,Masc,,NOUN,AMD-Prozessoren
AMD-Prozessor,Dat,Sing,Masc,,NOUN,AMD-Prozessor
AMD-Präsentation,Dat,Sing,Fem,,NOUN,AMD-Präsentation
AMD-Prüfling,Acc,Sing,Masc,,NOUN,AMD-Prüfling
AMD-Referenz-Mainboard,Dat,Sing,Neut,,NOUN,AMD-Referenz-Mainboard
AMD-Roadmap,Dat,Sing,Fem,,NOUN,AMD-Roadmap
AMD-Roadmap,Dat,Plur,Fem,,NOUN,AMD-Roadmaps
AMD-Server,Dat,Sing,Masc,,NOUN,AMD-Server
AMD-Thunderbird,Acc,Sing,,,PROPN,AMD-Thunderbird
AMD-Thunderbird-Prozessor,Acc,Sing,Masc,,NOUN,AMD-Thunderbird-Prozessor
AMD-Umsatz,Dat,Sing,Masc,,NOUN,AMD-Umsatz
AMD-Variante,Dat,Sing,Fem,,NOUN,AMD-Variante
AMD-Verkaufsabteilung,Dat,Sing,Fem,,NOUN,AMD-Verkaufsabteilung
AMD-Vizepräsident,Dat,Sing,Masc,,NOUN,AMD-Vizepräsident
AMD-Werk,Dat,Sing,Neut,,NOUN,AMD-Werk
AMD-Werkserweiterung,Dat,Sing,Fem,,NOUN,AMD-Werkserweiterung
AMD-Zentrale,Acc,Sing,Fem,,NOUN,AMD-Zentrale
AMD-Zug,Acc,Sing,Masc,,NOUN,AMD-Zug
AMD760-Chipsatz,Acc,Sing,Masc,,NOUN,AMD760-Chipsatz
AMD760MP-Chipsatz,Acc,Sing,Masc,,NOUN,AMD760MP-Chipsatz
AMR-Slot,Acc,Sing,Masc,,NOUN,AMR-Slot
AMR-Slot,Dat,Sing,Masc,,NOUN,AMR-Slot
AN.ON-Projekt,Acc,Sing,Neut,,NOUN,AN.ON-Projekt
ANC,Dat,Sing,Masc,,PROPN,ANC
ANSI-Position,Dat,Sing,Fem,,NOUN,ANSI-Position
ANSI-Standard,Dat,Sing,Masc,,NOUN,ANSI-Standard
AOL,Dat,Sing,,,PROPN,AOL
AOL,Acc,Sing,,,PROPN,AOL
AOL-6.0-Software,Dat,Sing,Fem,,NOUN,AOL-6.0-Software
AOL-ATT-Deal,Acc,Sing,Masc,,NOUN,AOL-ATT-Deal
AOL-Abonnent,Dat,Plur,Masc,,NOUN,AOL-Abonnenten
AOL-Account,Dat,Sing,Masc,,NOUN,AOL-Account
AOL-Aktie,Dat,Sing,Fem,,NOUN,AOL-Aktie
AOL-Aktion,Acc,Sing,Fem,,NOUN,AOL-Aktion
AOL-Allianz,Dat,Sing,Fem,,NOUN,AOL-Allianz
AOL-Angebot,Dat,Sing,Neut,,NOUN,AOL-Angebot
AOL-Angebot,Acc,Sing,Neut,,NOUN,AOL-Angebot
AOL-Arena,Acc,Sing,Fem,,NOUN,AOL-Arena
AOL-Arena,Dat,Sing,Fem,,NOUN,AOL-Arena
AOL-Aufsichtsrat,Dat,Sing,Masc,,NOUN,AOL-Aufsichtsrat
AOL-Beteiligung,Acc,Sing,Fem,,NOUN,AOL-Beteiligung
AOL-Bilanz,Acc,Sing,Fem,,NOUN,AOL-Bilanz
AOL-Bildformat,Dat,Plur,Neut,,NOUN,AOL-Bildformaten
AOL-Blockade,Acc,Sing,Fem,,NOUN,AOL-Blockade
AOL-CD,Dat,Plur,Fem,,NOUN,AOL-CDs
AOL-Chat,Dat,Sing,Masc,,NOUN,AOL-Chat
AOL-Chef,Dat,Sing,Masc,,NOUN,AOL-Chef
AOL-Chef,Acc,Sing,Masc,,NOUN,AOL-Chef
AOL-Client-Software,Dat,Sing,Fem,,NOUN,AOL-Client-Software
AOL-DSL,Dat,,,,NOUN,AOL-DSL
AOL-DSL-Angebot,Dat,Sing,Neut,,NOUN,AOL-DSL-Angebot
AOL-DSL-Flatrate,Acc,Sing,Fem,,NOUN,AOL-DSL-Flatrate
AOL-DSL-Zugang,Dat,Sing,Masc,,NOUN,AOL-DSL-Zugang
AOL-DSL-Zugang,Acc,Sing,Masc,,NOUN,AOL-DSL-Zugang
AOL-Deal,Acc,Sing,Masc,,NOUN,AOL-Deal
AOL-Deal,Dat,Sing,Masc,,NOUN,AOL-Deal
AOL-Deutschland,Dat,Sing,,,PROPN,AOL-Deutschland
AOL-Dienst,Dat,Plur,Masc,,NOUN,AOL-Diensten
AOL-Diskussionsforum,Dat,Sing,Neut,,NOUN,AOL-Diskussionsforum
AOL-Dokument,Dat,Plur,Neut,,NOUN,AOL-Dokumenten
AOL-Dokument,Dat,Sing,Neut,,NOUN,AOL-Dokument
AOL-Europa-Chef,Acc,Sing,Masc,,NOUN,AOL-Europa-Chef
AOL-Europe,Dat,,,,NOUN,AOL-Europe
AOL-Fahne,Dat,Sing,Fem,,NOUN,AOL-Fahne
AOL-Fahne,Dat,Plur,Fem,,NOUN,AOL-Fahnen
AOL-Führung,Acc,Sing,Fem,,NOUN,AOL-Führung
AOL-Geschäft,Dat,Plur,Neut,,NOUN,AOL-Geschäften
AOL-Geschäftsbereich,Dat,Plur,Masc,,NOUN,AOL-Geschäftsbereichen
AOL-Geschäftsbericht,Dat,Sing,Masc,,NOUN,AOL-Geschäftsbericht
AOL-Haupstadtbüro,Dat,Sing,Neut,,NOUN,AOL-Haupstadtbüro
AOL-Homepage,Dat,Sing,Fem,,NOUN,AOL-Homepage
AOL-Hosting-Service,Dat,Sing,Masc,,NOUN,AOL-Hosting-Service
AOL-Inhalt,Acc,Plur,Masc,,NOUN,AOL-Inhalte
AOL-Kampfpreis,Acc,Sing,Masc,,NOUN,AOL-Kampfpreis
AOL-Klage,Acc,Sing,Fem,,NOUN,AOL-Klage
AOL-Konkurrent,Acc,Sing,Masc,,NOUN,AOL-Konkurrenten
AOL-Konkurrent,Dat,Plur,Masc,,NOUN,AOL-Konkurrenten
AOL-Konkurrent,Acc,Plur,Masc,,NOUN,AOL-Konkurrenten
AOL-Konzern,Dat,Sing,Masc,,NOUN,AOL-Konzern
AOL-Kooperationspartner,Dat,Sing,Masc,,NOUN,AOL-Kooperationspartner
AOL-Kunde,Dat,Sing,Masc,,NOUN,AOL-Kunden
AOL-Kunde,Acc,Plur,,,NOUN,AOL-Kunden
AOL-Kunde,Dat,Plur,,,NOUN,AOL-Kunden
AOL-Mail-Account,Acc,Plur,Masc,,NOUN,AOL-Mail-Accounts
AOL-Mail-Software,Dat,Sing,Fem,,NOUN,AOL-Mail-Software
AOL-Manager,Dat,Plur,Masc,,NOUN,AOL-Managern
AOL-Messenger-Nutzer,Dat,Plur,Masc,,NOUN,AOL-Messenger-Nutzern
AOL-Mitarbeiter,Dat,Sing,Masc,,NOUN,AOL-Mitarbeiter
AOL-Mitarbeiter,Dat,Plur,Masc,,NOUN,AOL-Mitarbeitern
AOL-Mitbewerber,Dat,Sing,Masc,,NOUN,AOL-Mitbewerber
AOL-Mitglied,Dat,Plur,Neut,,NOUN,AOL-Mitgliedern
AOL-Mitglied,Acc,Sing,Neut,,NOUN,AOL-Mitglied
AOL-Mitglied,Acc,Plur,Neut,,NOUN,AOL-Mitglieder
AOL-Mitgliedschaft,Dat,Sing,Fem,,NOUN,AOL-Mitgliedschaft
AOL-Mitgliedsgebühr,Dat,Sing,Fem,,NOUN,AOL-Mitgliedsgebühr
AOL-Muttergesellschaft,Acc,Sing,Fem,,NOUN,AOL-Muttergesellschaft
AOL-Name,Dat,Plur,Masc,,NOUN,AOL-Namen
AOL-Netz,Acc,Sing,Neut,,NOUN,AOL-Netz
AOL-Netz,Dat,Sing,Neut,,NOUN,AOL-Netz
AOL-Netzwerk,Dat,Sing,Neut,,NOUN,AOL-Netzwerk
AOL-Netzwerk,Acc,Sing,Neut,,NOUN,AOL-Netzwerk
AOL-Offensive,Dat,Sing,Fem,,NOUN,AOL-Offensive
AOL-Onlinedienst,Acc,Plur,Masc,,NOUN,AOL-Onlinedienste
AOL-Partner,Acc,Sing,Masc,,NOUN,AOL-Partner
AOL-Partner,Dat,Plur,Masc,,NOUN,AOL-Partnern
AOL-Paßwort,Acc,Plur,Neut,,NOUN,AOL-Paßwörter
AOL-Portal,Acc,Sing,Neut,,NOUN,AOL-Portal
AOL-Pressesprecher,Dat,Sing,Masc,,NOUN,AOL-Pressesprecher
AOL-Projekt,Acc,Sing,Neut,,NOUN,AOL-Projekt
AOL-Schreiben,Dat,Sing,Neut,,NOUN,AOL-Schreiben
AOL-Seele,Acc,Plur,Fem,,NOUN,AOL-Seelen
AOL-Seite,Dat,Sing,Fem,,NOUN,AOL-Seite
AOL-Server,Acc,Sing,Masc,,NOUN,AOL-Server
AOL-Server,Acc,Plur,Masc,,NOUN,AOL-Server
AOL-Service-Provider,Dat,Sing,Masc,,NOUN,AOL-Service-Provider
AOL-Site,Dat,Plur,Fem,,NOUN,AOL-Sites
AOL-Skandal,Dat,Sing,Masc,,NOUN,AOL-Skandal
AOL-Software,Acc,Sing,Fem,,NOUN,AOL-Software
AOL-Software,Dat,Sing,Fem,,NOUN,AOL-Software
AOL-Sparte,Acc,Plur,Fem,,NOUN,AOL-Sparten
AOL-Sprecher,Dat,Sing,Masc,,NOUN,AOL-Sprecher
AOL-Sprecherin,Dat,Sing,Fem,,NOUN,AOL-Sprecherin
AOL-Stadion,Acc,Sing,Neut,,NOUN,AOL-Stadion
AOL-Start-Tarif,Dat,Sing,Masc,,NOUN,AOL-Start-Tarif
AOL-Strategie-Papier,Dat,Sing,Neut,,NOUN,AOL-Strategie-Papier
AOL-System,Dat,Plur,Neut,,NOUN,AOL-Systemen
AOL-Tarif,Dat,Sing,Masc,,NOUN,AOL-Tarif
AOL-Tarif,Acc,Sing,Masc,,NOUN,AOL-Tarif
AOL-Team,Dat,Sing,Neut,,NOUN,AOL-Team
AOL-Teilnehmer,Dat,Plur,Masc,,NOUN,AOL-Teilnehmern
AOL-Time-Warner-Konzern,Dat,Sing,Masc,,NOUN,AOL-Time-Warner-Konzern
AOL-Tochter,Acc,Sing,Fem,,NOUN,AOL-Tochter
AOL-Tochter,Dat,Sing,Fem,,NOUN,AOL-Tochter
AOL-User,Dat,Plur,Masc,,NOUN,AOL-Usern
AOL-Version,Dat,Sing,Fem,,NOUN,AOL-Version
AOL-Verwaltungsrat,Dat,Sing,Masc,,NOUN,AOL-Verwaltungsrat
AOL-Vorstoß,Acc,Sing,Masc,,NOUN,AOL-Vorstoß
AOL-Vorstoß,Dat,Sing,Masc,,NOUN,AOL-Vorstoß
AOL-Webseite,Dat,Plur,Fem,,NOUN,AOL-Webseiten
AOL-Werbeaussage,Acc,Sing,Fem,,NOUN,AOL-Werbeaussage
AOL-Werbung,Dat,Sing,Fem,,NOUN,AOL-Werbung
AOL-Zentrale,Dat,Sing,Fem,,NOUN,AOL-Zentrale
