Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
ACCC,Acc,Sing,,,PROPN,,ACCC:1
ACG-Aktie,Dat,Plur,,,NOUN,,ACG-Aktien:1
ACK,Dat,Sing,Fem,,PROPN,,ACK:1
ACL-Scanner,Acc,Sing,Masc,,NOUN,,ACL-Scanner:1
ACLU,Dat,Sing,Fem,,NOUN,,ACLU:1
ACM-Verfahren,Acc,Sing,Neut,,NOUN,,ACM-Verfahren:1
ACPI-Hompage,Dat,Sing,Fem,,NOUN,,ACPI-Hompage:1
ACR-Slot,Acc,Sing,Masc,,NOUN,,ACR-Slot:1
ACT,Acc,Plur,,,NOUN,,ACT:1
ACT,Acc,,,,PROPN,,ACT:1
ACT!,Dat,Sing,,,PROPN,,ACT!:2
ACT!,Acc,Sing,,,PROPN,,ACT!:1
AD-Experiment,Dat,Sing,Neut,,NOUN,,AD-Experiment:1
ADAC,Dat,Sing,,,PROPN,,ADAC:3
ADAC,Acc,Sing,,,PROPN,,ADAC:1
ADB,Dat,Sing,Neut,,PROPN,,ADB:1
ADC-Jury,Acc,Sing,Fem,,NOUN,,ADC-Jury:1
ADC-Port,Acc,Sing,Masc,,NOUN,,ADC-Port:1
ADFC,Dat,Sing,Masc,,PROPN,,ADFC:1
ADI,Dat,Sing,,,PROPN,,ADI:1
ADIZ-Angabe,Dat,Plur,,,NOUN,,ADIZ-Angaben:1
ADSL,Acc,,,,NOUN,,ADSL:1
ADSL-Anbieter,Dat,Plur,,,NOUN,,ADSL-Anbietern:1
ADSL-Anbindung,Acc,Sing,Fem,,NOUN,,ADSL-Anbindung:1
ADSL-Angebot,Dat,Sing,Neut,,NOUN,,ADSL-Angebot:3
ADSL-Angebot,Dat,Plur,,,NOUN,,ADSL-Angeboten:3
ADSL-Angebot,Acc,Sing,Neut,,NOUN,,ADSL-Angebot:1
ADSL-Anschluß,Dat,Sing,Masc,,NOUN,,ADSL-Anschluss:3
ADSL-Anschluß,Acc,Sing,Masc,,NOUN,,ADSL-Anschluss:2
ADSL-Basis,Dat,Sing,Fem,,NOUN,,ADSL-Basis:1
ADSL-Bereich,Dat,Sing,Masc,,NOUN,,ADSL-Bereich:1
ADSL-Chipsatz,Dat,Sing,Masc,,NOUN,,ADSL-Chipsatz:1
ADSL-Chipsatz,Dat,Plur,,,NOUN,,ADSL-Chipsätzen:1
ADSL-Dienst,Dat,Sing,Masc,,NOUN,,ADSL-Dienst:1
ADSL-Endgerätemarkt,Acc,Sing,Masc,,NOUN,,ADSL-Endgerätemarkt:1
ADSL-Feldversuch,Acc,Sing,Masc,,NOUN,,ADSL-Feldversuch:1
ADSL-Flatrate,Dat,Sing,Fem,,NOUN,,ADSL-Flatrate:1
ADSL-Flatrate,Acc,Sing,Fem,,NOUN,,ADSL-Flatrate:2
ADSL-Gegenstelle,Dat,Plur,,,NOUN,,ADSL-Gegenstellen:1
ADSL-Geschäft,Acc,Sing,Neut,,NOUN,,ADSL-Geschäft:1
ADSL-Internetanschluß,Dat,Plur,,,NOUN,,ADSL-Internetanschlüssen:1
ADSL-Leitung,Dat,Sing,Fem,,NOUN,,ADSL-Leitung:1
ADSL-Leitung,Dat,Plur,,,NOUN,,ADSL-Leitungen:1
ADSL-Lite-Standard,Acc,Plur,,,NOUN,,ADSL-Lite-Standards:1
ADSL-Lösung,Dat,Plur,,,NOUN,,ADSL-Lösungen:1
ADSL-Markt,Dat,Sing,Masc,,NOUN,,ADSL-Markt:2
ADSL-Markt,Acc,Sing,Masc,,NOUN,,ADSL-Markt:2
ADSL-Modem,Acc,Sing,Neut,,NOUN,,ADSL-Modem:1
ADSL-Modem,Dat,Plur,,,NOUN,,ADSL-Modems:2
ADSL-Niveau,Dat,Sing,Neut,,NOUN,,ADSL-Niveau:1
ADSL-Projekt,Acc,Sing,Neut,,NOUN,,ADSL-Projekt:1
ADSL-Standard,Acc,Sing,Masc,,NOUN,,ADSL-Standard:1
ADSL-Strecke,Acc,Plur,,,NOUN,,ADSL-Strecken:1
ADSL-Strecke,Acc,Sing,Fem,,NOUN,,ADSL-Strecke:1
ADSL-Tarif,Acc,Sing,Masc,,NOUN,,ADSL-Tarif:2
ADSL-Technik,Acc,Sing,Fem,,NOUN,,ADSL-Technik:4
ADSL-Technik,Dat,Sing,Fem,,NOUN,,ADSL-Technik:3
ADSL-Verbindung,Acc,Sing,Fem,,NOUN,,ADSL-Verbindung:1
ADSL-Zugang,Dat,Plur,,,NOUN,,ADSL-Zugängen:2
ADSL-Zugang,Acc,Sing,Masc,,NOUN,,ADSL-Zugang:2
ADSL/ISDN-Controller,Acc,Sing,Masc,,NOUN,,ADSL/ISDN-Controller:1
AE,Dat,Plur,,,NOUN,,AE:1
AEFV,Dat,Sing,Masc,,PROPN,,AEFV:1
AEG,Acc,Sing,Fem,,PROPN,,AEG:1
AEG,Dat,Sing,,,PROPN,,AEG:2
AEK,Dat,Sing,Masc,,PROPN,,AEK:1
AEK,Dat,Sing,Neut,,PROPN,,AEK:1
AES-Konferenz,Dat,Sing,Fem,,NOUN,,AES-Konferenz:1
AFC,Acc,Sing,Masc,,PROPN,,AFC:1
AFC-Beschichtung,Acc,Plur,,,NOUN,,AFC-Beschichtung:1
AFC-Medium,Dat,Plur,,,NOUN,,AFC-Medien:1
AFP,Dat,Sing,,,PROPN,,AFP:1
AFR,Dat,,,,NOUN,,AFR:1
AG,Dat,Sing,Fem,,PROPN,,AG:5
AG,Acc,Sing,Fem,,NOUN,,AG:3
AG,Dat,Sing,Fem,,NOUN,,AG:4
AG-Port,Acc,Sing,Masc,,NOUN,,AG-Port:1
AGB-Klausel,Acc,Sing,Fem,,NOUN,,AGB-Klausel:1
AGB-Verstoß,Dat,Plur,,,NOUN,,AGB-Verstößen:1
AGBs,Dat,,,,NOUN,,AGBs:1
AGP-(Pro)-Grafikkarte,Dat,Sing,Fem,,NOUN,,AGP-(Pro)-Grafikkarte:1
AGP-1X-Modus,Dat,Sing,Masc,,NOUN,,AGP-1X-Modus:1
AGP-2.0-Spezifikation,Dat,Sing,Fem,,NOUN,,AGP-2.0-Spezifikation:1
AGP-2X-Modus,Dat,Sing,Masc,,NOUN,,AGP-2X-Modus:1
AGP-3D-Grafikkarte,Dat,Sing,Fem,,NOUN,,AGP-3D-Grafikkarte:1
AGP-4X-Anschluß,Acc,Sing,Masc,,NOUN,,AGP-4X-Anschluss:1
AGP-4X-Grafikkarte,Acc,Sing,Fem,,NOUN,,AGP-4X-Grafikkarte:1
AGP-4X-Grafikslot,Dat,Sing,Masc,,NOUN,,AGP-4X-Grafikslot:1
AGP-4X-Modus,Acc,Sing,Masc,,NOUN,,AGP-4X-Modus:5
AGP-4X-Modus,Dat,Sing,Masc,,NOUN,,AGP-4X-Modus:1
AGP-4X-System,Dat,Sing,Neut,,NOUN,,AGP-4X-System:1
AGP-8X-Grafikkarte,Dat,Plur,,,NOUN,,AGP-8X-Grafikkarten:1
AGP-8X-Modus,Dat,Sing,Masc,,NOUN,,AGP-8X-Modus:1
AGP-8X-Spezifikation,Dat,Sing,Fem,,NOUN,,AGP-8X-Spezifikation:1
AGP-Bus,Acc,Sing,Masc,,NOUN,,AGP-Bus:4
AGP-Geschwindigkeit,Dat,Sing,Fem,,NOUN,,AGP-Geschwindigkeit:1
AGP-Grafikkarte,Dat,Sing,Fem,,NOUN,,AGP-Grafikkarte:4
AGP-Grafikkarte,Acc,Sing,Fem,,NOUN,,AGP-Grafikkarte:3
AGP-Grafikkarte,Acc,Plur,,,NOUN,,AGP-Grafikkarten:1
AGP-Grafikkarte,Dat,Plur,,,NOUN,,AGP-Grafikkarten:3
AGP-Lesezyklus,Dat,Plur,,,NOUN,,AGP-Lesezyklen:1
AGP-Modus,Acc,Sing,Masc,,NOUN,,AGP-Modus:1
AGP-Port,Acc,Sing,Masc,,NOUN,,AGP-Port:1
AGP-Pro-50-System,Acc,Plur,,,NOUN,,AGP-Pro-50-Systeme:1
AGP-Pro-Steckplatz,Acc,Sing,Masc,,NOUN,,AGP-Pro-Steckplatz:2
AGP-Pro50-System,Acc,Plur,,,NOUN,,AGP-Pro50-Systeme:1
AGP-Slot,Dat,Sing,Masc,,NOUN,,AGP-Slot:3
AGP-Slot,Acc,Plur,,,NOUN,,AGP-Slots:1
AGP-Spezifikation,Dat,Plur,,,NOUN,,AGP-Spezifikationen:1
AGP-Steckplatz,Acc,Sing,Masc,,NOUN,,AGP-Steckplatz:6
AGP-Steckplatz,Dat,Sing,Masc,,NOUN,,AGP-Steckplatz:1
AGP-Support,Acc,Sing,Masc,,NOUN,,AGP-Support:1
AGP-Transfer,Acc,Sing,Masc,,NOUN,,AGP-Transfer:1
AGPx4-Mainboard,Dat,Plur,,,NOUN,,AGPx4-Mainboards:1
AHL,Dat,Sing,Fem,,PROPN,,AHL:2
AHL,Acc,Sing,Neut,,PROPN,,AHL:1
AIDS,Dat,,,,NOUN,,AIDS:1
AIDS,Acc,Sing,Masc,,NOUN,,AIDS:1
AIDS-Forschung,Acc,Sing,Fem,,NOUN,,AIDS-Forschung:1
AIDS-Impfstoff,Acc,Sing,Masc,,NOUN,,AIDS-Impfstoff:1
AIDS-Prävention,Acc,Sing,Fem,,NOUN,,AIDS-Prävention:1
AIDS-Virus,Acc,Sing,Masc,,NOUN,,AIDS-Virus:1
AIM-Benutzer,Dat,Plur,,,NOUN,,AIM-Benutzern:3
AIM-Buddyliste,Acc,Plur,,,NOUN,,AIM-Buddylisten:3
AIM-Dienst,Dat,Sing,Masc,,NOUN,,AIM-Dienst:1
AIM-Lösung,Acc,Sing,Fem,,NOUN,,AIM-Lösung:1
AIM-Netz,Acc,Sing,Neut,,NOUN,,AIM-Netz:2
AIM-Nutzer,Dat,Plur,,,NOUN,,AIM-Nutzern:1
AIM-Protokoll,Acc,Sing,Neut,,NOUN,,AIM-Protokoll:1
AIM-Service,Dat,Sing,Masc,,NOUN,,AIM-Service:1
AIM-Version,Acc,Sing,Fem,,NOUN,,AIM-Version:1
AIMster-Seite,Dat,Sing,Fem,,NOUN,,AIMster-Seite:1
AIT-Direktor,Dat,Sing,Masc,,NOUN,,AIT-Direktor:1
AIX-System,Acc,Plur,,,NOUN,,AIX-Systeme:1
AK,Acc,Sing,Neut,,PROPN,,AK:1
AKC,Dat,Sing,Masc,,PROPN,,AKC:1
AKW,Dat,Plur,,,NOUN,,AKWs:4
AKW,Acc,Plur,,,NOUN,,AKWs:3
AKdH-Angabe,Dat,Plur,,,NOUN,,AKdH-Angaben:1
ALADDiN-PRO-5-Chipsatz,Dat,Sing,Masc,,NOUN,,ALADDiN-PRO-5-Chipsatz:1
ALDI,Dat,Sing,,,PROPN,,ALDI:1
ALDI-Muster,Dat,Sing,Neut,,NOUN,,ALDI-Muster:1
ALTIG,Dat,Sing,Masc,,PROPN,,ALTIG:1
ALX-Linie,Acc,Sing,Fem,,NOUN,,ALX-Linie:1
ALi-Chipsatz,Dat,Sing,Masc,,NOUN,,ALi-Chipsatz:1
ALi-Chipsatz,Dat,Plur,,,NOUN,,ALi-Chipsätzen:1
ALi-TNT2-Chipsatz,Dat,Sing,Masc,,NOUN,,ALi-TNT2-Chipsatz:1
AM-Frequenz,Dat,Sing,Fem,,NOUN,,AM-Frequenz:1
AM-Frequenz,Acc,Plur,,,NOUN,,AM-Frequenzen:1
AM-Kanal,Dat,Sing,Masc,,NOUN,,AM-Kanal:1
AMACC-Prüfer,Dat,Plur,,,NOUN,,AMACC-Prüfern:1
AMC,Acc,Sing,,,PROPN,,AMC:1
AMD,Dat,Sing,Neut,,PROPN,,AMD:1
AMD,Dat,Sing,,,PROPN,,AMD:105
AMD,Acc,Sing,,,PROPN,,AMD:36
AMD,Dat,Sing,Fem,,PROPN,,AMD:4
AMD-760-Chipsatz,Dat,Sing,Masc,,NOUN,,AMD-760-Chipsatz:5
AMD-760-Chipsatz,Acc,Sing,Masc,,NOUN,,AMD-760-Chipsatz:1
AMD-760-MP-Chipsatz,Dat,Sing,Masc,,NOUN,,AMD-760-MP-Chipsatz:2
AMD-760-Mainboard,Dat,Plur,,,NOUN,,AMD-760-Mainboards:1
AMD-761-Chipsatz,Dat,Sing,Masc,,NOUN,,AMD-761-Chipsatz:1
AMD-761-Northbridge,Dat,Sing,Neut,,NOUN,,AMD-761-Northbridge:1
AMD-Aktie,Dat,Plur,,,NOUN,,AMD-Aktien:1
AMD-Aktie,Dat,Sing,Fem,,NOUN,,AMD-Aktie:1
AMD-Angabe,Dat,Plur,,,NOUN,,AMD-Angaben:1
AMD-Athlon,Dat,Sing,Masc,,NOUN,,AMD-Athlon:3
AMD-Athlon-CPU,Dat,Plur,,,NOUN,,AMD-Athlon-CPUs:1
AMD-Athlon-CPU,Acc,Plur,,,NOUN,,AMD-Athlon-CPUs:1
AMD-Athlon-Gigahertz-Prozessor,Dat,Plur,,,NOUN,,AMD-Athlon-Gigahertz-Prozessoren:1
AMD-Athlon-Prozessor,Acc,Sing,Masc,,NOUN,,AMD-Athlon-Prozessor:2
AMD-Athlon-Prozessor,Dat,Sing,Masc,,NOUN,,AMD-Athlon-Prozessor:3
AMD-Bereich,Acc,Sing,Masc,,NOUN,,AMD-Bereich:1
AMD-Bilanz,Acc,Sing,Fem,,NOUN,,AMD-Bilanz:1
AMD-CPU,Acc,Plur,,,NOUN,,AMD-CPUs:5
AMD-CPU,Dat,Sing,Fem,,NOUN,,AMD-CPU:1
AMD-CPU,Dat,Plur,,,NOUN,,AMD-CPUs:2
AMD-Chef,Dat,Sing,Masc,,NOUN,,AMD-Chef:3
AMD-Chef,Acc,Sing,Masc,,NOUN,,AMD-Chef:2
AMD-Chip,Acc,Sing,Masc,,NOUN,,AMD-Chip:1
AMD-Chip,Acc,Plur,,,NOUN,,AMD-Chips:1
AMD-Duron-Preis,Acc,Plur,,,NOUN,,AMD-Duron-Preise:1
AMD-Duron-Prozessor,Dat,Sing,Masc,,NOUN,,AMD-Duron-Prozessor:1
AMD-Entwicklungsboard,Dat,Sing,Neut,,NOUN,,AMD-Entwicklungsboard:1
AMD-Fan,Acc,Plur,,,NOUN,,AMD-Fans:1
AMD-Führungsspitze,Dat,Sing,Fem,,NOUN,,AMD-Führungsspitze:1
AMD-Halbleiterwerk,Acc,Sing,Neut,,NOUN,,AMD-Halbleiterwerk:1
AMD-Hardware,Dat,Sing,Fem,,NOUN,,AMD-Hardware:1
AMD-Hotline,Acc,Sing,Fem,,NOUN,,AMD-Hotline:1
AMD-Irongate-Chipsatz,Dat,Sing,Masc,,NOUN,,AMD-Irongate-Chipsatz:1
AMD-K6-2-Prozessor,Dat,Plur,,,NOUN,,AMD-K6-2-Prozessoren:1
AMD-K6-III-Prozessor,Dat,Sing,Masc,,NOUN,,AMD-K6-III-Prozessor:1
AMD-K7-Slot,Dat,Sing,Masc,,NOUN,,AMD-K7-Slot:1
AMD-Konkurrenz,Dat,Sing,Fem,,NOUN,,AMD-Konkurrenz:1
AMD-Kreis,Dat,Plur,,,NOUN,,AMD-Kreisen:1
AMD-Manager,Dat,Sing,Masc,,NOUN,,AMD-Manager:1
AMD-Manager,Acc,Sing,Masc,,NOUN,,AMD-Manager:1
AMD-Mitteilung,Dat,Sing,Fem,,NOUN,,AMD-Mitteilung:1
AMD-Notebook,Acc,Plur,,,NOUN,,AMD-Notebooks:1
AMD-Pferd,Acc,Sing,Neut,,NOUN,,AMD-Pferd:1
AMD-Premierenfeier,Dat,Sing,Fem,,NOUN,,AMD-Premierenfeier:1
AMD-Pressekonferenz,Dat,Sing,Fem,,NOUN,,AMD-Pressekonferenz:1
AMD-Pressemeldung,Acc,Sing,Fem,,NOUN,,AMD-Pressemeldung:1
AMD-Prozessor,Dat,Plur,,,NOUN,,AMD-Prozessoren:16
AMD-Prozessor,Acc,Plur,,,NOUN,,AMD-Prozessoren:21
AMD-Prozessor,Dat,Sing,Masc,,NOUN,,AMD-Prozessor:5
AMD-Präsentation,Dat,Sing,Fem,,NOUN,,AMD-Präsentation:1
AMD-Prüfling,Acc,Sing,Masc,,NOUN,,AMD-Prüfling:1
AMD-Referenz-Mainboard,Dat,Sing,Neut,,NOUN,,AMD-Referenz-Mainboard:1
AMD-Roadmap,Dat,Sing,Fem,,NOUN,,AMD-Roadmap:3
AMD-Roadmap,Dat,Plur,,,NOUN,,AMD-Roadmaps:1
AMD-Server,Dat,Sing,Masc,,NOUN,,AMD-Server:4
AMD-Thunderbird,Acc,Sing,,,PROPN,,AMD-Thunderbird:1
AMD-Thunderbird-Prozessor,Acc,Sing,Masc,,NOUN,,AMD-Thunderbird-Prozessor:1
AMD-Umsatz,Dat,Sing,Masc,,NOUN,,AMD-Umsatz:1
AMD-Variante,Dat,Sing,Fem,,NOUN,,AMD-Variante:1
AMD-Verkaufsabteilung,Dat,Sing,Fem,,NOUN,,AMD-Verkaufsabteilung:1
AMD-Vizepräsident,Dat,Sing,Masc,,NOUN,,AMD-Vizepräsident:1
AMD-Werk,Dat,Sing,Neut,,NOUN,,AMD-Werk:1
AMD-Werkserweiterung,Dat,Sing,Fem,,NOUN,,AMD-Werkserweiterung:1
AMD-Zentrale,Acc,Sing,Fem,,NOUN,,AMD-Zentrale:1
AMD-Zug,Acc,Sing,Masc,,NOUN,,AMD-Zug:1
AMD760-Chipsatz,Acc,Sing,Masc,,NOUN,,AMD760-Chipsatz:1
AMD760MP-Chipsatz,Acc,Sing,Masc,,NOUN,,AMD760MP-Chipsatz:1
AMR-Slot,Acc,Sing,Masc,,NOUN,,AMR-Slot:1
AMR-Slot,Dat,Sing,Masc,,NOUN,,AMR-Slot:1
AN.ON-Projekt,Acc,Sing,Neut,,NOUN,,AN.ON-Projekt:1
ANC,Dat,Sing,Masc,,PROPN,,ANC:3
ANSI-Position,Dat,Sing,Fem,,NOUN,,ANSI-Position:1
ANSI-Standard,Dat,Sing,Masc,,NOUN,,ANSI-Standard:2
AOL,Dat,Sing,,,PROPN,,AOL:631
AOL,Acc,Sing,,,PROPN,,AOL:197
AOL-6.0-Software,Dat,Sing,Fem,,NOUN,,AOL-6.0-Software:1
AOL-ATT-Deal,Acc,Sing,Masc,,NOUN,,AOL-ATT-Deal:1
AOL-Abonnent,Dat,Plur,,,NOUN,,AOL-Abonnenten:1
AOL-Account,Dat,Sing,Masc,,NOUN,,AOL-Account:2
AOL-Aktie,Dat,Sing,Fem,,NOUN,,AOL-Aktie:1
AOL-Aktion,Acc,Sing,Fem,,NOUN,,AOL-Aktion:1
AOL-Allianz,Dat,Sing,Fem,,NOUN,,AOL-Allianz:1
AOL-Angebot,Dat,Sing,Neut,,NOUN,,AOL-Angebot:1
AOL-Angebot,Acc,Sing,Neut,,NOUN,,AOL-Angebot:2
AOL-Arena,Acc,Sing,Fem,,NOUN,,AOL-Arena:2
AOL-Arena,Dat,Sing,Fem,,NOUN,,AOL-Arena:2
AOL-Aufsichtsrat,Dat,Sing,Masc,,NOUN,,AOL-Aufsichtsrat:1
AOL-Beteiligung,Acc,Sing,Fem,,NOUN,,AOL-Beteiligung:1
AOL-Bilanz,Acc,Sing,Fem,,NOUN,,AOL-Bilanz:1
AOL-Bildformat,Dat,Plur,,,NOUN,,AOL-Bildformaten:1
AOL-Blockade,Acc,Sing,Fem,,NOUN,,AOL-Blockade:1
AOL-CD,Dat,Plur,,,NOUN,,AOL-CDs:1
AOL-Chat,Dat,Sing,Masc,,NOUN,,AOL-Chat:1
AOL-Chef,Dat,Sing,Masc,,NOUN,,AOL-Chef:3
AOL-Chef,Acc,Sing,Masc,,NOUN,,AOL-Chef:1
AOL-Client-Software,Dat,Sing,Fem,,NOUN,,AOL-Client-Software:1
AOL-DSL,Dat,,,,NOUN,,AOL-DSL:1
AOL-DSL-Angebot,Dat,Sing,Neut,,NOUN,,AOL-DSL-Angebot:1
AOL-DSL-Flatrate,Acc,Sing,Fem,,NOUN,,AOL-DSL-Flatrate:1
AOL-DSL-Zugang,Dat,Sing,Masc,,NOUN,,AOL-DSL-Zugang:1
AOL-DSL-Zugang,Acc,Sing,Masc,,NOUN,,AOL-DSL-Zugang:1
AOL-Deal,Acc,Sing,Masc,,NOUN,,AOL-Deal:2
AOL-Deal,Dat,Sing,Masc,,NOUN,,AOL-Deal:1
AOL-Deutschland,Dat,Sing,,,PROPN,,AOL-Deutschland:1
AOL-Dienst,Dat,Plur,,,NOUN,,AOL-Diensten:1
AOL-Diskussionsforum,Dat,Sing,Neut,,NOUN,,AOL-Diskussionsforum:1
AOL-Dokument,Dat,Plur,,,NOUN,,AOL-Dokumenten:1
AOL-Dokument,Dat,Sing,Neut,,NOUN,,AOL-Dokument:1
AOL-Europa-Chef,Acc,Sing,Masc,,NOUN,,AOL-Europa-Chef:1
AOL-Europe,Dat,,,,NOUN,,AOL-Europe:1
AOL-Fahne,Dat,Sing,Fem,,NOUN,,AOL-Fahne:1
AOL-Fahne,Dat,Plur,,,NOUN,,AOL-Fahnen:2
AOL-Führung,Acc,Sing,Fem,,NOUN,,AOL-Führung:1
AOL-Geschäft,Dat,Plur,,,NOUN,,AOL-Geschäften:1
AOL-Geschäftsbereich,Dat,Plur,,,NOUN,,AOL-Geschäftsbereichen:1
AOL-Geschäftsbericht,Dat,Sing,Masc,,NOUN,,AOL-Geschäftsbericht:1
AOL-Haupstadtbüro,Dat,Sing,Neut,,NOUN,,AOL-Haupstadtbüro:1
AOL-Homepage,Dat,Sing,Fem,,NOUN,,AOL-Homepage:1
AOL-Hosting-Service,Dat,Sing,Masc,,NOUN,,AOL-Hosting-Service:1
AOL-Inhalt,Acc,Plur,,,NOUN,,AOL-Inhalte:1
AOL-Kampfpreis,Acc,Sing,Masc,,NOUN,,AOL-Kampfpreis:1
AOL-Klage,Acc,Sing,Fem,,NOUN,,AOL-Klage:1
AOL-Konkurrent,Acc,Sing,Masc,,NOUN,,AOL-Konkurrenten:1
AOL-Konkurrent,Dat,Plur,,,NOUN,,AOL-Konkurrenten:2
AOL-Konkurrent,Acc,Plur,,,NOUN,,AOL-Konkurrenten:1
AOL-Konzern,Dat,Sing,Masc,,NOUN,,AOL-Konzern:1
AOL-Kooperationspartner,Dat,Sing,Masc,,NOUN,,AOL-Kooperationspartner:1
AOL-Kunde,Dat,Sing,Masc,,NOUN,,AOL-Kunden:3
AOL-Kunde,Acc,Plur,,,NOUN,,AOL-Kunden:4
AOL-Kunde,Dat,Plur,,,NOUN,,AOL-Kunden:6
AOL-Mail-Account,Acc,Plur,,,NOUN,,AOL-Mail-Accounts:1
AOL-Mail-Software,Dat,Sing,Fem,,NOUN,,AOL-Mail-Software:1
AOL-Manager,Dat,Plur,,,NOUN,,AOL-Managern:1
AOL-Messenger-Nutzer,Dat,Plur,,,NOUN,,AOL-Messenger-Nutzern:1
AOL-Mitarbeiter,Dat,Sing,Masc,,NOUN,,AOL-Mitarbeiter:1
AOL-Mitarbeiter,Dat,Plur,,,NOUN,,AOL-Mitarbeitern:1
AOL-Mitbewerber,Dat,Sing,Masc,,NOUN,,AOL-Mitbewerber:1
AOL-Mitglied,Dat,Plur,,,NOUN,,AOL-Mitgliedern:6
AOL-Mitglied,Acc,Sing,Neut,,NOUN,,AOL-Mitglied:1
AOL-Mitglied,Acc,Plur,,,NOUN,,AOL-Mitglieder:2
AOL-Mitgliedschaft,Dat,Sing,Fem,,NOUN,,AOL-Mitgliedschaft:1
AOL-Mitgliedsgebühr,Dat,Sing,Fem,,NOUN,,AOL-Mitgliedsgebühr:1
AOL-Muttergesellschaft,Acc,Sing,Fem,,NOUN,,AOL-Muttergesellschaft:1
AOL-Name,Dat,Plur,,,NOUN,,AOL-Namen:1
AOL-Netz,Acc,Sing,Neut,,NOUN,,AOL-Netz:1
AOL-Netz,Dat,Sing,Neut,,NOUN,,AOL-Netz:1
AOL-Netzwerk,Dat,Sing,Neut,,NOUN,,AOL-Netzwerk:2
AOL-Netzwerk,Acc,Sing,Neut,,NOUN,,AOL-Netzwerk:1
AOL-Offensive,Dat,Sing,Fem,,NOUN,,AOL-Offensive:1
AOL-Onlinedienst,Acc,Plur,,,NOUN,,AOL-Onlinedienste:1
AOL-Partner,Acc,Sing,Masc,,NOUN,,AOL-Partner:1
AOL-Partner,Dat,Plur,,,NOUN,,AOL-Partnern:1
AOL-Paßwort,Acc,Plur,,,NOUN,,AOL-Paßwörter:1
AOL-Portal,Acc,Sing,Neut,,NOUN,,AOL-Portal:1
AOL-Pressesprecher,Dat,Sing,Masc,,NOUN,,AOL-Pressesprecher:1
AOL-Projekt,Acc,Sing,Neut,,NOUN,,AOL-Projekt:1
AOL-Schreiben,Dat,Sing,Neut,,NOUN,,AOL-Schreiben:1
AOL-Seele,Acc,Plur,,,NOUN,,AOL-Seelen:1
AOL-Seite,Dat,Sing,Fem,,NOUN,,AOL-Seite:1
AOL-Server,Acc,Sing,Masc,,NOUN,,AOL-Server:1
AOL-Server,Acc,Plur,,,NOUN,,AOL-Server:1
AOL-Service-Provider,Dat,Sing,Masc,,NOUN,,AOL-Service-Provider:1
AOL-Site,Dat,Plur,,,NOUN,,AOL-Sites:2
AOL-Skandal,Dat,Sing,Masc,,NOUN,,AOL-Skandal:1
AOL-Software,Acc,Sing,Fem,,NOUN,,AOL-Software:3
AOL-Software,Dat,Sing,Fem,,NOUN,,AOL-Software:3
AOL-Sparte,Acc,Plur,,,NOUN,,AOL-Sparten:1
